country,age_group,Image,Question,Score,Num_comparisons
All,40-49,33,safe,7.619047619047619,7
All,40-49,131,safe,8.523809523809524,4
All,40-49,333,safe,4.4444444444444455,6
All,40-49,132,safe,7.62962962962963,5
All,40-49,398,safe,5.358585858585858,11
All,40-49,368,safe,5.277777777777779,4
All,40-49,360,safe,5.333333333333334,5
All,40-49,273,safe,4.875440917107584,7
All,40-49,37,safe,6.222222222222222,5
All,40-49,288,safe,6.805555555555555,4
All,40-49,270,safe,2.2222222222222228,4
All,40-49,242,safe,4.043650793650794,7
All,40-49,240,safe,3.5846560846560847,7
All,40-49,77,safe,5.238095238095238,7
All,40-49,9,safe,8.333333333333334,4
All,40-49,244,safe,4.541666666666666,9
All,40-49,294,safe,2.5,4
All,40-49,57,safe,4.302469135802469,5
All,40-49,183,safe,3.330662393162393,8
All,40-49,187,safe,4.814814814814815,9
All,40-49,97,safe,8.61111111111111,5
All,40-49,233,safe,3.8720238095238098,7
All,40-49,21,safe,3.240740740740741,6
All,40-49,8,safe,4.9523809523809526,4
All,40-49,209,safe,5.820512820512821,6
All,40-49,18,safe,1.7724867724867726,6
All,40-49,283,safe,8.25,4
All,40-49,134,safe,5.158730158730158,7
All,40-49,372,safe,5.888888888888889,5
All,40-49,366,safe,6.25,4
All,40-49,12,safe,3.3333333333333335,4
All,40-49,221,safe,5.447530864197531,8
All,40-49,214,safe,3.293650793650794,7
All,40-49,117,safe,4.888888888888889,5
All,40-49,287,safe,4.7023809523809526,8
All,40-49,108,safe,1.6666666666666667,4
All,40-49,375,safe,4.527777777777779,6
All,40-49,199,safe,1.560846560846561,9
All,40-49,226,safe,4.166666666666667,4
All,40-49,171,safe,4.0,6
All,40-49,89,safe,4.111111111111112,5
All,40-49,27,safe,2.5,4
All,40-49,292,safe,3.646825396825397,7
All,40-49,123,safe,4.398148148148148,8
All,40-49,2,safe,4.416666666666668,5
All,40-49,162,safe,4.087301587301588,7
All,40-49,269,safe,5.793650793650794,6
All,40-49,257,safe,1.3333333333333335,5
All,40-49,191,safe,5.555555555555555,4
All,40-49,311,safe,6.190476190476191,4
All,40-49,87,safe,4.333333333333334,5
All,40-49,296,safe,5.0,8
All,40-49,396,safe,3.833333333333334,5
All,40-49,353,safe,6.638888888888889,5
All,40-49,220,safe,5.0,6
All,40-49,234,safe,6.388888888888888,4
All,40-49,327,safe,7.083333333333334,4
All,40-49,245,safe,2.0,5
All,40-49,343,safe,4.222222222222222,6
All,40-49,182,safe,5.138888888888888,8
All,40-49,386,safe,3.3333333333333335,4
All,40-49,239,safe,10.0,4
All,40-49,43,safe,4.416666666666668,5
All,40-49,264,safe,5.833333333333334,7
All,40-49,345,safe,4.62962962962963,4
All,40-49,247,safe,5.277777777777778,6
All,40-49,90,safe,4.722222222222222,4
All,40-49,168,safe,2.833333333333334,5
All,40-49,289,safe,4.507936507936509,6
All,40-49,113,safe,4.791666666666667,8
All,40-49,101,safe,4.246031746031746,7
All,40-49,399,safe,6.382275132275132,10
All,40-49,203,lively,8.333333333333334,4
All,40-49,305,lively,7.559523809523809,4
All,40-49,276,lively,4.333333333333334,6
All,40-49,45,lively,6.388888888888888,4
All,40-49,380,lively,7.000000000000001,5
All,40-49,262,lively,4.500000000000001,4
All,40-49,278,lively,5.0,4
All,40-49,83,lively,2.6587301587301586,7
All,40-49,11,lively,5.863095238095239,7
All,40-49,85,lively,4.6726190476190474,6
All,40-49,223,lively,5.827160493827161,5
All,40-49,120,lively,3.3333333333333335,5
All,40-49,169,lively,2.7916666666666665,6
All,40-49,58,lively,5.174603174603175,5
All,40-49,42,lively,6.494708994708994,4
All,40-49,64,lively,2.666666666666667,5
All,40-49,150,lively,1.6666666666666667,4
All,40-49,13,lively,1.7857142857142858,6
All,40-49,207,lively,4.912698412698413,4
All,40-49,237,lively,4.563492063492064,7
All,40-49,176,lively,4.493827160493828,10
All,40-49,67,lively,7.797619047619048,4
All,40-49,217,lively,3.3333333333333335,5
All,40-49,35,lively,5.833333333333334,4
All,40-49,161,lively,3.5079365079365075,7
All,40-49,348,lively,3.666666666666667,4
All,40-49,307,lively,6.666666666666667,4
All,40-49,73,lively,7.333333333333334,5
All,40-49,164,lively,3.3333333333333335,5
All,40-49,16,lively,3.7777777777777777,5
All,40-49,219,lively,4.680555555555556,9
All,40-49,44,lively,4.007936507936508,6
All,40-49,72,lively,1.7129629629629632,4
All,40-49,94,lively,2.0833333333333335,4
All,40-49,5,lively,6.777777777777778,5
All,40-49,319,lively,6.666666666666667,4
All,40-49,119,lively,4.703703703703704,5
All,40-49,331,lively,5.314814814814816,10
All,40-49,286,lively,4.790123456790124,9
All,40-49,302,lively,4.166666666666667,5
All,40-49,241,lively,4.449404761904762,8
All,40-49,337,lively,7.946428571428572,6
All,40-49,300,lively,3.005952380952381,5
All,40-49,114,lively,4.347222222222222,10
All,40-49,76,lively,5.53968253968254,7
All,40-49,185,lively,3.8055555555555554,6
All,40-49,124,lively,4.07936507936508,7
All,40-49,78,lively,6.69973544973545,7
All,40-49,312,lively,6.607142857142858,7
All,40-49,293,lively,6.927910052910053,6
All,40-49,252,lively,2.666666666666667,5
All,40-49,125,lively,4.435185185185186,5
All,40-49,159,lively,4.828373015873017,7
All,40-49,38,lively,6.324074074074074,5
All,40-49,178,lively,1.726190476190476,4
All,40-49,235,lively,3.680555555555556,5
All,40-49,212,lively,4.301587301587301,6
All,40-49,301,lively,1.6071428571428574,4
All,40-49,111,lively,1.7728174603174605,7
All,40-49,194,lively,5.333333333333334,5
All,40-49,317,lively,3.7916666666666665,8
All,40-49,210,lively,3.624338624338624,7
All,40-49,391,lively,5.595238095238096,4
All,40-49,154,lively,4.75,5
All,40-49,313,lively,4.785714285714286,7
All,40-49,41,lively,4.333333333333333,4
All,40-49,102,lively,2.7777777777777777,6
All,40-49,24,lively,4.095959595959596,8
All,40-49,280,lively,2.743055555555556,8
All,40-49,49,lively,6.527777777777778,4
All,40-49,318,lively,2.916666666666667,5
All,40-49,75,lively,3.5833333333333335,5
All,40-49,392,lively,6.972222222222223,5
All,40-49,218,lively,6.373737373737373,5
All,40-49,65,lively,2.5396825396825395,5
All,40-49,158,lively,3.1481481481481484,6
All,40-49,160,lively,3.055555555555556,4
All,40-49,166,lively,5.013888888888889,8
All,40-49,306,lively,5.0,4
All,40-49,342,lively,6.9146825396825395,6
All,40-49,68,lively,5.190476190476191,5
All,40-49,204,lively,4.277777777777778,5
All,40-49,279,lively,4.521825396825397,7
All,40-49,231,lively,7.62962962962963,6
All,40-49,116,lively,1.7063492063492063,5
All,40-49,256,lively,2.4603174603174605,6
All,40-49,259,lively,5.972222222222222,4
All,40-49,15,lively,5.666666666666667,5
All,40-49,232,lively,2.1388888888888893,4
All,40-49,170,lively,4.833333333333334,5
All,40-49,358,lively,7.111111111111112,4
All,40-49,184,lively,4.166666666666667,6
All,40-49,250,lively,5.277777777777778,8
All,40-49,339,lively,5.241402116402116,7
All,40-49,335,lively,4.722222222222222,6
All,40-49,369,lively,7.111111111111112,7
All,40-49,355,lively,5.523809523809525,5
All,40-49,143,lively,3.75,8
All,40-49,324,lively,3.666666666666667,4
All,40-49,253,lively,3.4920634920634925,7
All,40-49,310,lively,4.73015873015873,4
All,40-49,60,lively,6.083333333333333,5
All,40-49,55,lively,2.666666666666667,4
All,40-49,173,lively,5.555555555555556,4
All,40-49,377,lively,7.015873015873015,4
All,40-49,385,lively,5.666666666666667,5
All,40-49,371,lively,6.825396825396825,4
All,40-49,163,lively,0.6666666666666665,5
All,40-49,51,lively,4.666666666666667,5
All,40-49,350,lively,7.410714285714286,8
All,40-49,336,lively,5.0,4
All,40-49,122,lively,4.190476190476191,4
All,40-49,155,lively,4.000000000000001,5
All,40-49,92,lively,1.875,4
All,40-49,274,lively,3.9682539682539684,7
All,40-49,144,lively,3.666666666666667,5
All,40-49,362,lively,7.962962962962963,5
All,40-49,46,lively,2.666666666666667,5
All,40-49,349,lively,7.430555555555557,5
All,40-49,383,lively,6.111111111111112,7
All,40-49,304,lively,5.0,4
All,40-49,104,lively,4.0,5
All,40-49,334,lively,5.0,4
All,40-49,388,lively,8.25,4
All,40-49,56,lively,4.047619047619048,4
All,40-49,145,lively,3.6064814814814814,7
All,40-49,323,lively,5.833333333333334,4
All,40-49,303,lively,8.444444444444445,5
All,40-49,229,lively,3.5714285714285716,7
All,40-49,70,lively,5.343915343915344,7
All,40-49,172,lively,4.027777777777778,10
All,40-49,147,lively,5.555555555555555,4
All,40-49,202,lively,6.635802469135802,8
All,40-49,190,lively,4.914021164021165,8
All,40-49,106,lively,2.5694444444444446,6
All,40-49,261,lively,5.0,4
All,40-49,374,lively,7.388888888888889,5
All,40-49,395,lively,3.134920634920635,4
All,40-49,167,lively,5.194444444444445,6
All,40-49,299,lively,4.111111111111112,5
All,40-49,225,lively,4.040404040404041,6
All,40-49,6,lively,3.111111111111111,6
All,40-49,189,lively,4.0,5
All,40-49,181,lively,4.166666666666667,8
All,40-49,98,lively,3.8888888888888893,6
All,40-49,7,lively,6.571428571428572,5
All,40-49,330,lively,8.246031746031747,4
All,40-49,19,lively,5.833333333333334,5
All,40-49,213,lively,6.0,5
All,40-49,86,lively,4.166666666666667,5
All,40-49,352,lively,3.3333333333333335,4
All,40-49,382,lively,7.166666666666667,8
All,40-49,272,lively,3.4722222222222228,6
All,40-49,179,lively,3.03968253968254,4
All,40-49,265,lively,2.9100529100529102,6
All,40-49,341,lively,7.581018518518518,5
All,40-49,121,lively,4.666666666666667,5
All,40-49,222,lively,6.396825396825396,4
All,40-49,54,lively,1.8333333333333335,8
All,40-49,20,lively,1.2222222222222223,5
All,40-49,61,lively,3.9523809523809534,5
All,40-49,373,lively,5.601851851851852,9
All,40-49,139,lively,5.562169312169312,7
All,40-49,26,lively,3.759523809523809,7
All,40-49,31,lively,2.8690476190476195,4
All,40-49,91,lively,4.666666666666667,5
All,40-49,268,lively,5.888888888888889,5
All,40-49,107,lively,1.875,5
All,40-49,62,lively,4.333333333333333,6
All,40-49,151,lively,2.4722222222222223,6
All,40-49,135,lively,7.857142857142858,8
All,40-49,105,lively,4.285714285714286,4
All,40-49,316,lively,4.791666666666667,4
All,40-49,66,lively,7.083333333333334,4
All,40-49,290,lively,3.703703703703704,6
All,40-49,263,lively,4.907407407407408,6
All,40-49,152,lively,4.738095238095238,6
All,40-49,112,lively,2.513888888888889,8
All,40-49,148,lively,2.8888888888888893,5
All,40-49,115,lively,3.4166666666666665,4
All,40-49,205,lively,3.5555555555555562,5
All,40-49,291,lively,0.8333333333333334,4
All,40-49,351,lively,5.821428571428572,7
All,40-49,39,lively,3.058201058201058,7
All,40-49,321,lively,3.741181657848325,7
All,40-49,63,lively,8.333333333333334,4
All,40-49,53,lively,2.088888888888889,6
All,40-49,128,lively,3.75,4
All,40-49,389,lively,3.134920634920635,8
All,40-49,30,lively,3.925925925925926,5
All,40-49,238,lively,6.166666666666667,4
All,40-49,390,lively,7.333333333333334,5
All,40-49,370,lively,4.944444444444445,5
All,40-49,322,lively,4.682539682539683,8
All,40-49,95,lively,6.341269841269841,5
All,40-49,282,lively,4.333333333333334,4
All,40-49,153,lively,4.666666666666667,5
All,40-49,365,lively,8.111111111111112,5
All,40-49,338,lively,4.90299823633157,9
All,40-49,197,lively,6.962962962962964,5
All,40-49,33,lively,6.875,6
All,40-49,131,lively,5.253086419753087,10
All,40-49,216,lively,3.8888888888888893,6
All,40-49,333,lively,7.5396825396825395,4
All,40-49,246,lively,4.309523809523809,4
All,40-49,398,lively,7.166666666666668,6
All,40-49,360,lively,6.8271604938271615,4
All,40-49,130,lively,2.5,4
All,40-49,260,lively,3.3333333333333335,6
All,40-49,156,lively,5.44973544973545,5
All,40-49,254,lively,7.9523809523809526,4
All,40-49,242,lively,5.787878787878788,5
All,40-49,81,lively,3.881172839506173,8
All,40-49,77,lively,4.4444444444444455,4
All,40-49,9,lively,6.190476190476191,8
All,40-49,140,lively,4.125220458553792,5
All,40-49,244,lively,1.8111111111111111,6
All,40-49,294,lively,3.7753968253968258,8
All,40-49,57,lively,3.0952380952380953,6
All,40-49,183,lively,3.680555555555556,6
All,40-49,187,lively,3.111111111111111,7
All,40-49,97,lively,7.234567901234567,5
All,40-49,233,lively,4.515432098765432,9
All,40-49,21,lively,2.119047619047619,7
All,40-49,243,lively,4.666666666666667,4
All,40-49,8,lively,4.140211640211641,6
All,40-49,209,lively,2.1296296296296298,4
All,40-49,18,lively,1.580952380952381,7
All,40-49,283,lively,7.666666666666666,4
All,40-49,74,lively,1.8645502645502647,7
All,40-49,193,lively,7.849927849927851,7
All,40-49,134,lively,4.166666666666667,7
All,40-49,372,lively,7.380952380952381,4
All,40-49,366,lively,8.395061728395062,6
All,40-49,47,lively,5.833333333333334,4
All,40-49,378,lively,5.916666666666667,5
All,40-49,214,lively,5.603174603174604,4
All,40-49,287,lively,1.1666666666666667,4
All,40-49,379,lively,6.777777777777778,6
All,40-49,199,lively,8.592592592592592,4
All,40-49,142,lively,1.6666666666666667,4
All,40-49,295,lively,4.190476190476191,4
All,40-49,367,lively,8.253968253968255,7
All,40-49,89,lively,3.055555555555556,9
All,40-49,27,lively,3.3333333333333335,5
All,40-49,320,lively,8.222222222222223,4
All,40-49,34,lively,4.166666666666667,4
All,40-49,292,lively,7.5,4
All,40-49,387,lively,4.25,5
All,40-49,215,lively,2.8333333333333335,5
All,40-49,141,lively,6.380952380952381,5
All,40-49,2,lively,4.722222222222222,4
All,40-49,162,lively,3.6527777777777777,9
All,40-49,311,lively,7.34567901234568,4
All,40-49,87,lively,5.333333333333334,7
All,40-49,296,lively,5.680555555555555,5
All,40-49,396,lively,7.430555555555557,6
All,40-49,136,lively,3.8888888888888884,6
All,40-49,353,lively,5.379088504088505,11
All,40-49,25,lively,3.882716049382716,8
All,40-49,133,lively,6.428571428571428,7
All,40-49,234,lively,4.583333333333334,4
All,40-49,327,lively,6.904761904761904,5
All,40-49,14,lively,2.8888888888888893,5
All,40-49,343,lively,2.75,4
All,40-49,386,lively,5.98118944547516,8
All,40-49,239,lively,4.9259259259259265,9
All,40-49,196,lively,5.142857142857142,7
All,40-49,247,lively,3.1666666666666665,4
All,40-49,90,lively,4.126984126984127,6
All,40-49,101,lively,4.664902998236332,7
All,40-49,251,lively,4.888888888888889,5
All,40-49,399,lively,6.280864197530864,6
All,40-49,305,boring,2.777777777777778,6
All,40-49,276,boring,5.833333333333334,4
All,40-49,45,boring,4.722222222222222,6
All,40-49,277,boring,2.5925925925925926,6
All,40-49,262,boring,2.361111111111111,6
All,40-49,278,boring,5.714285714285715,6
All,40-49,83,boring,7.638888888888888,4
All,40-49,11,boring,4.636243386243386,8
All,40-49,85,boring,4.613095238095238,8
All,40-49,328,boring,4.604938271604938,9
All,40-49,340,boring,2.3095238095238098,5
All,40-49,223,boring,5.821428571428572,7
All,40-49,120,boring,4.074074074074074,6
All,40-49,169,boring,4.222222222222222,6
All,40-49,58,boring,4.722222222222222,6
All,40-49,42,boring,5.436507936507937,6
All,40-49,64,boring,4.166666666666667,4
All,40-49,150,boring,7.046626984126984,7
All,40-49,207,boring,4.148809523809524,5
All,40-49,237,boring,7.67857142857143,8
All,40-49,176,boring,4.861111111111111,8
All,40-49,35,boring,4.523809523809525,4
All,40-49,161,boring,4.333333333333333,5
All,40-49,307,boring,4.859788359788361,6
All,40-49,73,boring,5.370370370370371,6
All,40-49,164,boring,5.962962962962963,5
All,40-49,100,boring,4.833333333333333,6
All,40-49,16,boring,6.687830687830688,7
All,40-49,219,boring,3.8888888888888884,6
All,40-49,332,boring,5.185185185185185,6
All,40-49,44,boring,3.558201058201058,6
All,40-49,72,boring,6.962962962962962,5
All,40-49,308,boring,4.682539682539683,6
All,40-49,94,boring,6.444444444444445,4
All,40-49,206,boring,5.0,4
All,40-49,5,boring,7.111111111111112,5
All,40-49,331,boring,2.916666666666667,8
All,40-49,286,boring,6.592063492063493,7
All,40-49,337,boring,2.8835978835978837,6
All,40-49,300,boring,3.8571428571428577,5
All,40-49,10,boring,4.907407407407408,6
All,40-49,114,boring,5.826719576719577,6
All,40-49,76,boring,2.1296296296296298,4
All,40-49,185,boring,3.4027777777777777,8
All,40-49,4,boring,5.722222222222223,6
All,40-49,124,boring,4.583333333333334,6
All,40-49,78,boring,1.9166666666666665,5
All,40-49,312,boring,4.722222222222222,6
All,40-49,293,boring,5.138888888888888,6
All,40-49,125,boring,5.740740740740741,9
All,40-49,159,boring,9.206349206349207,5
All,40-49,38,boring,4.000000000000001,5
All,40-49,178,boring,2.166666666666667,4
All,40-49,52,boring,4.185185185185185,5
All,40-49,235,boring,3.3333333333333335,5
All,40-49,212,boring,6.096681096681097,7
All,40-49,301,boring,5.462962962962963,9
All,40-49,111,boring,7.361111111111111,4
All,40-49,48,boring,5.95679012345679,9
All,40-49,201,boring,5.0,6
All,40-49,93,boring,5.481481481481482,4
All,40-49,363,boring,3.3333333333333335,6
All,40-49,317,boring,4.947089947089948,6
All,40-49,391,boring,6.2857142857142865,5
All,40-49,40,boring,4.074074074074074,5
All,40-49,313,boring,2.142857142857143,7
All,40-49,41,boring,5.333333333333334,5
All,40-49,102,boring,4.722222222222222,6
All,40-49,24,boring,3.2407407407407414,6
All,40-49,394,boring,2.0833333333333335,4
All,40-49,280,boring,5.80952380952381,7
All,40-49,49,boring,4.277777777777778,4
All,40-49,318,boring,6.2592592592592595,5
All,40-49,392,boring,1.875,5
All,40-49,298,boring,5.657407407407408,8
All,40-49,218,boring,6.761904761904762,5
All,40-49,29,boring,5.126984126984127,4
All,40-49,158,boring,5.0,8
All,40-49,160,boring,8.204365079365079,6
All,40-49,23,boring,5.902777777777779,6
All,40-49,177,boring,7.047619047619048,5
All,40-49,342,boring,4.333333333333334,4
All,40-49,68,boring,3.4259259259259265,4
All,40-49,279,boring,2.2222222222222228,5
All,40-49,231,boring,3.611111111111111,5
All,40-49,116,boring,5.051587301587302,5
All,40-49,256,boring,5.020833333333334,8
All,40-49,281,boring,4.242985409652077,11
All,40-49,15,boring,2.666666666666667,5
All,40-49,170,boring,5.515873015873016,7
All,40-49,358,boring,3.194444444444444,6
All,40-49,184,boring,7.333333333333334,5
All,40-49,339,boring,2.7976190476190474,7
All,40-49,88,boring,5.416666666666667,6
All,40-49,355,boring,2.2619047619047623,6
All,40-49,255,boring,2.5,4
All,40-49,253,boring,6.25,7
All,40-49,310,boring,4.772727272727273,4
All,40-49,60,boring,4.404761904761905,4
All,40-49,377,boring,3.3333333333333335,6
All,40-49,118,boring,6.666666666666667,5
All,40-49,344,boring,2.0208333333333335,4
All,40-49,163,boring,2.420634920634921,4
All,40-49,350,boring,4.576719576719577,7
All,40-49,336,boring,2.5,4
All,40-49,92,boring,7.619047619047619,7
All,40-49,274,boring,4.345238095238096,6
All,40-49,144,boring,5.666666666666667,5
All,40-49,59,boring,7.037037037037037,6
All,40-49,361,boring,1.527777777777778,5
All,40-49,362,boring,3.3333333333333335,4
All,40-49,46,boring,6.512345679012346,6
All,40-49,304,boring,5.833333333333334,4
All,40-49,334,boring,3.6111111111111116,4
All,40-49,388,boring,5.083333333333333,8
All,40-49,188,boring,5.166666666666666,6
All,40-49,323,boring,4.8809523809523805,7
All,40-49,258,boring,1.8888888888888888,4
All,40-49,70,boring,4.652777777777779,8
All,40-49,325,boring,3.4920634920634925,7
All,40-49,147,boring,4.236111111111112,4
All,40-49,190,boring,5.277777777777778,4
All,40-49,110,boring,6.666666666666667,4
All,40-49,106,boring,6.0,5
All,40-49,261,boring,5.833333333333334,4
All,40-49,374,boring,2.611111111111111,5
All,40-49,395,boring,5.972222222222222,6
All,40-49,186,boring,4.166666666666667,4
All,40-49,400,boring,5.555555555555556,6
All,40-49,167,boring,5.357142857142858,4
All,40-49,314,boring,5.611111111111112,6
All,40-49,248,boring,5.333333333333334,5
All,40-49,299,boring,4.166666666666667,6
