country,gender_age_group,Image,Question,Score,Num_comparisons
All,female x 40-49,196,lively,5.583333333333334,5
All,female x 40-49,25,lively,4.444444444444445,4
All,female x 40-49,133,lively,5.0,5
All,female x 40-49,366,lively,8.222222222222223,4
All,female x 40-49,134,lively,4.166666666666667,4
All,female x 40-49,11,boring,3.5000000000000004,4
All,female x 40-49,85,boring,4.166666666666667,4
All,female x 40-49,328,boring,5.0,8
All,female x 40-49,223,boring,4.500000000000001,4
All,female x 40-49,120,boring,3.3333333333333335,4
All,female x 40-49,58,boring,4.166666666666667,4
All,female x 40-49,73,boring,6.25,4
All,female x 40-49,332,boring,3.7777777777777777,5
All,female x 40-49,308,boring,4.222222222222222,5
All,female x 40-49,286,boring,5.972222222222222,6
All,female x 40-49,300,boring,2.361111111111111,4
All,female x 40-49,185,boring,2.5,4
All,female x 40-49,293,boring,1.6666666666666667,4
All,female x 40-49,301,boring,5.0,4
All,female x 40-49,48,boring,7.083333333333334,4
All,female x 40-49,201,boring,7.222222222222223,4
All,female x 40-49,317,boring,5.0,4
All,female x 40-49,281,boring,3.253968253968254,7
All,female x 40-49,358,boring,1.6666666666666667,4
All,female x 40-49,184,boring,6.666666666666667,4
All,female x 40-49,350,boring,6.111111111111111,4
All,female x 40-49,274,boring,5.333333333333334,5
All,female x 40-49,46,boring,5.0,4
All,female x 40-49,323,boring,5.833333333333334,4
All,female x 40-49,70,boring,5.833333333333334,4
All,female x 40-49,374,boring,1.3888888888888893,4
All,female x 40-49,98,boring,7.333333333333334,5
All,female x 40-49,7,boring,4.0,7
All,female x 40-49,139,boring,6.203703703703704,4
All,female x 40-49,31,boring,5.462962962962963,6
All,female x 40-49,62,boring,5.0,4
All,female x 40-49,135,boring,2.2222222222222228,4
All,female x 40-49,265,boring,1.9444444444444446,5
All,female x 40-49,389,boring,5.222222222222223,5
All,female x 40-49,95,boring,5.092592592592593,4
All,female x 40-49,153,boring,8.333333333333334,4
All,female x 40-49,77,boring,1.6666666666666667,4
All,female x 40-49,243,boring,4.583333333333334,4
All,female x 40-49,199,boring,6.277777777777778,4
All,female x 40-49,295,boring,4.166666666666667,4
All,female x 40-49,367,boring,2.0000000000000004,4
All,female x 40-49,68,boring,3.4259259259259265,4
All,female x 40-49,216,boring,5.0,4
All,female x 40-49,387,boring,0.9722222222222225,4
All,female x 40-49,233,boring,7.12962962962963,4
All,female x 40-49,313,boring,2.0833333333333335,4
All,female x 40-49,247,boring,6.071428571428571,4
All,female x 40-49,25,boring,5.833333333333334,4
All,female x 40-49,366,boring,0.8333333333333334,4
All,female x 40-49,123,boring,6.666666666666667,4
All,female x 40-49,97,boring,1.6666666666666667,4
All,female x 40-49,134,boring,5.0,4
All,female x 40-49,269,boring,1.6666666666666667,4
All,female x 40-49,257,boring,0.8333333333333334,5
All,female x 40-49,262,wealthy,4.166666666666667,4
All,female x 40-49,120,wealthy,3.0,4
All,female x 40-49,42,wealthy,3.055555555555556,6
All,female x 40-49,237,wealthy,3.75,4
All,female x 40-49,176,wealthy,2.0833333333333335,4
All,female x 40-49,35,wealthy,2.388888888888889,5
All,female x 40-49,307,wealthy,6.222222222222222,5
All,female x 40-49,326,wealthy,5.666666666666668,5
All,female x 40-49,114,wealthy,3.0,4
All,female x 40-49,124,wealthy,3.8888888888888884,5
All,female x 40-49,82,wealthy,3.444444444444444,5
All,female x 40-49,235,wealthy,7.5,4
All,female x 40-49,317,wealthy,3.444444444444444,5
All,female x 40-49,256,wealthy,3.3333333333333335,5
All,female x 40-49,250,wealthy,4.0,5
All,female x 40-49,165,wealthy,7.777777777777777,4
All,female x 40-49,350,wealthy,6.25,4
All,female x 40-49,362,wealthy,5.833333333333334,4
All,female x 40-49,334,wealthy,5.833333333333334,4
All,female x 40-49,56,wealthy,3.62962962962963,5
All,female x 40-49,190,wealthy,3.7962962962962963,4
All,female x 40-49,374,wealthy,5.333333333333334,5
All,female x 40-49,400,wealthy,7.638888888888888,4
All,female x 40-49,23,wealthy,4.666666666666667,5
All,female x 40-49,29,wealthy,4.222222222222222,5
All,female x 40-49,61,wealthy,5.0,4
All,female x 40-49,139,wealthy,4.444444444444445,6
All,female x 40-49,297,wealthy,6.055555555555555,4
All,female x 40-49,36,wealthy,2.0833333333333335,4
All,female x 40-49,153,wealthy,2.0833333333333335,4
All,female x 40-49,285,wealthy,3.027777777777778,4
All,female x 40-49,195,wealthy,1.9444444444444446,4
All,female x 40-49,284,wealthy,3.3333333333333335,4
All,female x 40-49,171,wealthy,4.0,5
All,female x 40-49,367,wealthy,8.333333333333334,5
All,female x 40-49,74,wealthy,2.666666666666667,5
All,female x 40-49,89,wealthy,4.833333333333333,4
All,female x 40-49,27,wealthy,1.3333333333333335,5
All,female x 40-49,24,wealthy,5.833333333333334,4
All,female x 40-49,244,wealthy,6.75,5
All,female x 40-49,228,wealthy,4.296296296296297,4
All,female x 40-49,174,wealthy,4.166666666666667,6
All,female x 40-49,264,wealthy,5.833333333333334,6
All,female x 40-49,117,wealthy,1.851851851851852,4
All,female x 40-49,247,wealthy,6.25,4
All,female x 40-49,351,wealthy,6.574074074074074,4
All,female x 40-49,37,wealthy,2.291666666666667,4
All,female x 40-49,392,wealthy,6.888888888888888,5
All,female x 40-49,269,wealthy,8.333333333333334,4
All,female x 40-49,203,depressing,3.3333333333333335,4
All,female x 40-49,380,depressing,1.3095238095238093,7
All,female x 40-49,262,depressing,4.4444444444444455,4
All,female x 40-49,278,depressing,1.6666666666666667,4
All,female x 40-49,328,depressing,1.6666666666666667,4
All,female x 40-49,169,depressing,4.500000000000001,4
All,female x 40-49,64,depressing,4.666666666666667,5
All,female x 40-49,73,depressing,5.833333333333334,4
All,female x 40-49,164,depressing,3.666666666666667,4
All,female x 40-49,72,depressing,7.916666666666667,5
All,female x 40-49,206,depressing,3.666666666666667,5
All,female x 40-49,5,depressing,1.6666666666666667,4
All,female x 40-49,286,depressing,5.750000000000001,4
All,female x 40-49,302,depressing,8.333333333333334,4
All,female x 40-49,337,depressing,3.9444444444444446,5
All,female x 40-49,114,depressing,5.416666666666667,6
All,female x 40-49,185,depressing,5.833333333333334,4
All,female x 40-49,4,depressing,6.111111111111111,4
All,female x 40-49,312,depressing,7.333333333333334,5
All,female x 40-49,252,depressing,6.444444444444445,4
All,female x 40-49,301,depressing,5.0,4
All,female x 40-49,111,depressing,6.25,4
All,female x 40-49,201,depressing,1.6666666666666667,4
All,female x 40-49,194,depressing,4.166666666666667,4
All,female x 40-49,210,depressing,5.0,4
All,female x 40-49,281,depressing,3.3333333333333335,5
All,female x 40-49,170,depressing,4.000000000000001,5
All,female x 40-49,355,depressing,4.166666666666667,6
All,female x 40-49,371,depressing,5.833333333333334,4
All,female x 40-49,344,depressing,1.9444444444444446,4
All,female x 40-49,129,depressing,6.111111111111112,4
All,female x 40-49,350,depressing,4.583333333333334,6
All,female x 40-49,144,depressing,4.166666666666667,4
All,female x 40-49,349,depressing,1.9444444444444446,4
All,female x 40-49,334,depressing,5.833333333333334,4
All,female x 40-49,56,depressing,4.888888888888888,9
All,female x 40-49,258,depressing,3.3333333333333335,4
All,female x 40-49,229,depressing,5.833333333333334,4
All,female x 40-49,70,depressing,3.75,4
All,female x 40-49,325,depressing,0.8333333333333334,4
All,female x 40-49,202,depressing,2.0138888888888893,4
All,female x 40-49,190,depressing,5.833333333333334,4
All,female x 40-49,330,depressing,2.0000000000000004,5
All,female x 40-49,19,depressing,6.166666666666667,5
All,female x 40-49,373,depressing,2.5,4
All,female x 40-49,297,depressing,5.0,4
All,female x 40-49,270,depressing,10.0,4
All,female x 40-49,389,depressing,2.5,4
All,female x 40-49,156,depressing,5.555555555555556,4
All,female x 40-49,36,depressing,5.0,4
All,female x 40-49,153,depressing,6.666666666666667,5
All,female x 40-49,341,depressing,3.7301587301587302,7
All,female x 40-49,199,depressing,6.944444444444444,4
All,female x 40-49,187,depressing,3.8888888888888893,4
All,female x 40-49,321,depressing,1.5740740740740744,4
All,female x 40-49,320,depressing,2.555555555555556,8
All,female x 40-49,24,depressing,5.833333333333334,4
All,female x 40-49,315,depressing,5.0,6
All,female x 40-49,66,depressing,4.166666666666667,4
All,female x 40-49,354,depressing,0.0,4
All,female x 40-49,191,depressing,1.3333333333333335,4
All,female x 40-49,271,depressing,3.111111111111111,5
All,female x 40-49,222,depressing,3.3333333333333335,4
All,female x 40-49,238,depressing,5.277777777777779,6
All,female x 40-49,366,depressing,2.6851851851851856,4
All,female x 40-49,263,depressing,5.833333333333334,4
All,female x 40-49,236,depressing,5.666666666666667,5
All,female x 40-49,322,depressing,3.75,4
All,female x 40-49,257,depressing,2.777777777777778,4
All,female x 40-49,214,depressing,5.333333333333334,5
All,female x 40-49,84,depressing,8.333333333333334,4
All,female x 40-49,343,depressing,7.916666666666667,4
All,female x 40-49,394,depressing,4.166666666666667,4
All,female x 40-49,146,depressing,5.277777777777778,4
All,female x 40-49,276,beautiful,4.236111111111111,4
All,female x 40-49,69,beautiful,5.0396825396825395,7
All,female x 40-49,340,beautiful,8.444444444444445,5
All,female x 40-49,120,beautiful,0.0,4
All,female x 40-49,42,beautiful,4.0,5
All,female x 40-49,207,beautiful,5.833333333333334,8
All,female x 40-49,237,beautiful,1.9444444444444446,4
All,female x 40-49,307,beautiful,3.3333333333333335,4
All,female x 40-49,76,beautiful,7.083333333333334,4
All,female x 40-49,185,beautiful,5.833333333333334,4
All,female x 40-49,178,beautiful,2.5,4
All,female x 40-49,212,beautiful,5.750000000000001,5
All,female x 40-49,256,beautiful,3.7916666666666665,5
All,female x 40-49,170,beautiful,4.666666666666667,5
All,female x 40-49,324,beautiful,6.9444444444444455,5
All,female x 40-49,55,beautiful,6.666666666666667,4
All,female x 40-49,173,beautiful,3.0,5
All,female x 40-49,118,beautiful,2.5,4
All,female x 40-49,122,beautiful,4.666666666666667,5
All,female x 40-49,144,beautiful,2.5925925925925926,5
All,female x 40-49,361,beautiful,8.333333333333334,4
All,female x 40-49,104,beautiful,1.4814814814814818,4
All,female x 40-49,388,beautiful,3.703703703703704,6
All,female x 40-49,364,beautiful,3.3333333333333335,4
All,female x 40-49,190,beautiful,6.666666666666667,4
All,female x 40-49,400,beautiful,3.75,4
All,female x 40-49,342,beautiful,5.833333333333334,4
All,female x 40-49,225,beautiful,4.166666666666667,4
All,female x 40-49,6,beautiful,2.5,4
All,female x 40-49,61,beautiful,1.851851851851852,4
All,female x 40-49,297,beautiful,6.25,4
All,female x 40-49,268,beautiful,6.666666666666667,6
All,female x 40-49,107,beautiful,1.8888888888888888,5
All,female x 40-49,192,beautiful,5.888888888888889,10
All,female x 40-49,254,beautiful,2.5,4
All,female x 40-49,71,beautiful,2.2222222222222228,4
All,female x 40-49,285,beautiful,5.833333333333334,4
All,female x 40-49,295,beautiful,5.833333333333334,4
All,female x 40-49,89,beautiful,3.1666666666666665,4
All,female x 40-49,233,beautiful,5.0,4
All,female x 40-49,174,beautiful,7.916666666666667,4
All,female x 40-49,33,beautiful,7.083333333333334,4
All,female x 40-49,221,beautiful,1.8055555555555558,4
All,female x 40-49,347,beautiful,5.0,4
All,female x 40-49,318,beautiful,2.5,4
All,female x 40-49,37,beautiful,2.666666666666667,5
All,female x 40-49,238,beautiful,5.555555555555555,4
All,female x 40-49,123,beautiful,1.3194444444444446,4
All,female x 40-49,130,beautiful,7.592592592592593,4
All,female x 40-49,269,beautiful,6.666666666666667,4
All,female x 40-49,289,beautiful,8.333333333333334,4
All,female x 40-49,399,beautiful,7.5,4
All,female x 40-49,262,live nearby,8.88888888888889,4
All,female x 40-49,69,live nearby,0.8333333333333334,4
All,female x 40-49,42,live nearby,2.9629629629629632,6
All,female x 40-49,161,live nearby,4.666666666666667,5
All,female x 40-49,300,live nearby,1.6666666666666667,4
All,female x 40-49,78,live nearby,4.25,5
All,female x 40-49,208,live nearby,2.916666666666667,5
All,female x 40-49,125,live nearby,5.111111111111112,5
All,female x 40-49,235,live nearby,6.333333333333333,5
All,female x 40-49,194,live nearby,8.402777777777777,4
All,female x 40-49,317,live nearby,6.666666666666667,4
All,female x 40-49,256,live nearby,5.138888888888888,4
All,female x 40-49,184,live nearby,3.3333333333333335,4
All,female x 40-49,88,live nearby,8.88888888888889,4
All,female x 40-49,329,live nearby,5.0,4
All,female x 40-49,310,live nearby,4.298941798941799,7
All,female x 40-49,60,live nearby,2.172619047619048,5
All,female x 40-49,173,live nearby,4.444444444444445,6
All,female x 40-49,51,live nearby,4.166666666666667,4
All,female x 40-49,350,live nearby,4.4444444444444455,6
All,female x 40-49,175,live nearby,5.277777777777778,6
All,female x 40-49,383,live nearby,8.333333333333334,4
All,female x 40-49,334,live nearby,4.666666666666667,5
All,female x 40-49,56,live nearby,5.833333333333334,6
All,female x 40-49,325,live nearby,5.555555555555555,4
All,female x 40-49,110,live nearby,4.333333333333334,4
All,female x 40-49,400,live nearby,5.500000000000001,5
All,female x 40-49,158,live nearby,5.833333333333334,4
All,female x 40-49,314,live nearby,3.3333333333333335,4
All,female x 40-49,50,live nearby,1.4074074074074077,6
All,female x 40-49,61,live nearby,2.4074074074074074,6
All,female x 40-49,26,live nearby,7.083333333333334,4
All,female x 40-49,297,live nearby,3.666666666666667,5
All,female x 40-49,180,live nearby,4.166666666666667,4
All,female x 40-49,36,live nearby,2.777777777777778,4
All,female x 40-49,242,live nearby,5.222222222222222,5
All,female x 40-49,393,live nearby,5.396825396825397,7
All,female x 40-49,370,live nearby,3.3333333333333335,4
All,female x 40-49,18,live nearby,5.138888888888888,4
All,female x 40-49,199,live nearby,4.285714285714286,7
All,female x 40-49,284,live nearby,6.7407407407407405,5
All,female x 40-49,367,live nearby,7.63888888888889,5
All,female x 40-49,109,live nearby,3.3333333333333335,4
All,female x 40-49,74,live nearby,1.0000000000000002,4
All,female x 40-49,89,live nearby,3.75,4
All,female x 40-49,306,live nearby,4.583333333333334,4
All,female x 40-49,266,live nearby,5.0,4
All,female x 40-49,387,live nearby,5.222222222222222,5
All,female x 40-49,24,live nearby,5.0,6
All,female x 40-49,160,live nearby,2.5,4
All,female x 40-49,396,live nearby,5.0,4
All,female x 40-49,140,live nearby,5.6944444444444455,6
All,female x 40-49,12,live nearby,4.166666666666667,6
All,female x 40-49,247,live nearby,5.833333333333334,4
All,female x 40-49,222,live nearby,4.027777777777779,6
All,female x 40-49,318,live nearby,3.7962962962962963,4
All,female x 40-49,113,live nearby,2.5,4
All,female x 40-49,213,live nearby,3.6111111111111116,4
All,female x 40-49,134,live nearby,3.6111111111111116,4
All,female x 40-49,322,live nearby,3.833333333333334,5
All,female x 40-49,269,live nearby,5.833333333333334,4
All,female x 40-49,30,live nearby,0.6666666666666665,5
All,female x 40-49,136,live nearby,3.4259259259259265,4
All,female x 40-49,278,cycle,5.750000000000001,5
All,female x 40-49,83,cycle,5.0,7
All,female x 40-49,11,cycle,5.833333333333334,4
All,female x 40-49,85,cycle,5.476190476190476,4
All,female x 40-49,328,cycle,7.083333333333334,4
All,female x 40-49,169,cycle,4.555555555555556,4
All,female x 40-49,307,cycle,2.777777777777778,4
All,female x 40-49,72,cycle,2.0833333333333335,4
All,female x 40-49,114,cycle,3.5000000000000004,5
All,female x 40-49,76,cycle,4.0,5
All,female x 40-49,185,cycle,1.9444444444444446,4
All,female x 40-49,208,cycle,1.8611111111111112,8
All,female x 40-49,159,cycle,6.666666666666667,4
All,female x 40-49,82,cycle,0.8333333333333334,4
All,female x 40-49,111,cycle,2.2222222222222228,4
All,female x 40-49,256,cycle,2.5,6
All,female x 40-49,259,cycle,2.5,4
All,female x 40-49,355,cycle,5.492063492063492,5
All,female x 40-49,255,cycle,6.666666666666667,4
All,female x 40-49,60,cycle,3.3333333333333335,4
All,female x 40-49,377,cycle,5.333333333333334,5
All,female x 40-49,165,cycle,6.3465608465608465,7
All,female x 40-49,385,cycle,6.1269841269841265,5
All,female x 40-49,99,cycle,1.4444444444444446,5
All,female x 40-49,350,cycle,5.777777777777779,4
All,female x 40-49,104,cycle,4.166666666666667,4
All,female x 40-49,258,cycle,3.3333333333333335,4
All,female x 40-49,70,cycle,6.666666666666667,4
All,female x 40-49,202,cycle,2.5,4
All,female x 40-49,374,cycle,5.611111111111112,6
All,female x 40-49,225,cycle,1.8253968253968256,7
All,female x 40-49,330,cycle,5.111111111111112,4
All,female x 40-49,29,cycle,2.361111111111111,4
All,female x 40-49,31,cycle,6.111111111111111,4
All,female x 40-49,107,cycle,8.148148148148149,4
All,female x 40-49,105,cycle,4.166666666666667,4
All,female x 40-49,254,cycle,3.0,5
All,female x 40-49,81,cycle,4.166666666666667,4
All,female x 40-49,209,cycle,8.253968253968255,4
All,female x 40-49,1,cycle,3.7962962962962963,4
All,female x 40-49,398,cycle,3.3333333333333335,5
All,female x 40-49,63,cycle,1.8944444444444446,8
All,female x 40-49,267,cycle,5.079365079365079,7
All,female x 40-49,397,cycle,3.2222222222222223,5
All,female x 40-49,284,cycle,2.5,4
All,female x 40-49,138,cycle,2.9555555555555553,6
All,female x 40-49,187,cycle,5.238095238095238,7
All,female x 40-49,321,cycle,5.555555555555555,6
All,female x 40-49,266,cycle,5.0,4
All,female x 40-49,131,cycle,4.333333333333333,5
All,female x 40-49,291,cycle,2.5,4
All,female x 40-49,387,cycle,6.158730158730159,5
All,female x 40-49,298,cycle,4.000000000000001,5
All,female x 40-49,66,cycle,6.333333333333333,5
All,female x 40-49,239,cycle,1.6666666666666667,4
All,female x 40-49,43,cycle,4.142857142857143,7
All,female x 40-49,264,cycle,6.666666666666667,4
All,female x 40-49,234,cycle,1.8333333333333335,5
All,female x 40-49,196,cycle,4.0,4
All,female x 40-49,39,cycle,2.7777777777777777,5
All,female x 40-49,123,cycle,5.833333333333334,4
All,female x 40-49,246,cycle,3.6904761904761907,4
All,female x 40-49,220,cycle,3.7916666666666665,5
All,female x 40-49,101,cycle,6.111111111111112,6
All,female x 40-49,203,walk,5.0,4
All,female x 40-49,262,walk,2.0000000000000004,5
All,female x 40-49,328,walk,6.888888888888888,5
All,female x 40-49,120,walk,4.0,5
All,female x 40-49,207,walk,0.8333333333333334,4
All,female x 40-49,35,walk,1.9444444444444446,5
All,female x 40-49,16,walk,5.0,4
All,female x 40-49,332,walk,4.666666666666667,5
All,female x 40-49,308,walk,2.666666666666667,5
All,female x 40-49,331,walk,4.166666666666667,4
All,female x 40-49,10,walk,4.0,5
All,female x 40-49,301,walk,4.722222222222222,4
All,female x 40-49,111,walk,0.8333333333333334,4
All,female x 40-49,194,walk,3.941798941798942,4
All,female x 40-49,93,walk,2.5,4
All,female x 40-49,184,walk,4.777777777777778,5
All,female x 40-49,371,walk,6.944444444444444,4
All,female x 40-49,204,walk,3.055555555555556,4
All,female x 40-49,336,walk,3.9444444444444446,6
All,female x 40-49,362,walk,4.0,5
All,female x 40-49,104,walk,1.1111111111111114,4
All,female x 40-49,388,walk,5.833333333333334,4
All,female x 40-49,56,walk,0.8333333333333334,4
All,female x 40-49,70,walk,6.805555555555555,4
All,female x 40-49,106,walk,1.9444444444444446,4
All,female x 40-49,330,walk,6.0,5
All,female x 40-49,297,walk,5.0,4
All,female x 40-49,107,walk,5.0476190476190474,7
All,female x 40-49,192,walk,5.0,4
All,female x 40-49,265,walk,4.0,5
All,female x 40-49,105,walk,1.8888888888888888,5
All,female x 40-49,95,walk,2.2222222222222228,6
All,female x 40-49,240,walk,2.0740740740740744,5
All,female x 40-49,367,walk,10.0,4
All,female x 40-49,74,walk,1.527777777777778,4
All,female x 40-49,311,walk,4.166666666666667,4
All,female x 40-49,182,walk,2.5,4
All,female x 40-49,228,walk,4.462962962962964,4
All,female x 40-49,87,walk,3.3333333333333335,5
All,female x 40-49,386,walk,5.083333333333334,5
All,female x 40-49,33,walk,3.740740740740741,5
All,female x 40-49,271,walk,3.3333333333333335,5
All,female x 40-49,376,walk,8.0,5
All,female x 40-49,238,walk,3.6111111111111116,4
All,female x 40-49,123,walk,2.0833333333333335,4
All,female x 40-49,276,green,2.5,4
All,female x 40-49,45,green,2.0833333333333335,4
All,female x 40-49,11,green,2.1296296296296298,6
All,female x 40-49,381,green,1.1111111111111114,4
All,female x 40-49,67,green,8.333333333333334,4
All,female x 40-49,308,green,4.111111111111112,6
All,female x 40-49,206,green,7.388888888888889,4
All,female x 40-49,5,green,7.25,5
All,female x 40-49,319,green,3.1944444444444446,4
All,female x 40-49,38,green,5.583333333333334,5
All,female x 40-49,201,green,5.0,4
All,female x 40-49,210,green,5.277777777777779,4
All,female x 40-49,170,green,5.555555555555555,6
All,female x 40-49,250,green,4.166666666666667,4
All,female x 40-49,335,green,3.055555555555556,4
All,female x 40-49,357,green,6.25,4
All,female x 40-49,324,green,7.708333333333334,4
All,female x 40-49,55,green,2.7777777777777777,4
All,female x 40-49,173,green,5.0,4
All,female x 40-49,165,green,5.833333333333334,4
All,female x 40-49,129,green,6.574074074074074,4
All,female x 40-49,122,green,6.25,4
All,female x 40-49,349,green,0.8333333333333334,4
All,female x 40-49,56,green,3.7777777777777777,5
All,female x 40-49,258,green,5.750000000000001,4
All,female x 40-49,248,green,5.833333333333334,4
All,female x 40-49,225,green,5.0,4
All,female x 40-49,7,green,2.666666666666667,5
All,female x 40-49,19,green,4.0,5
All,female x 40-49,373,green,4.4444444444444455,6
All,female x 40-49,139,green,6.222222222222222,5
All,female x 40-49,268,green,6.333333333333333,5
All,female x 40-49,62,green,4.0,5
All,female x 40-49,192,green,4.666666666666667,5
All,female x 40-49,230,green,8.333333333333334,4
All,female x 40-49,200,green,7.814814814814816,5
All,female x 40-49,389,green,7.222222222222222,4
All,female x 40-49,338,green,6.666666666666667,5
All,female x 40-49,209,green,4.166666666666667,4
All,female x 40-49,153,green,1.6666666666666667,4
All,female x 40-49,71,green,1.6666666666666667,4
All,female x 40-49,77,green,1.9722222222222219,4
All,female x 40-49,22,green,1.8888888888888888,5
All,female x 40-49,295,green,6.111111111111111,4
All,female x 40-49,378,green,2.8888888888888893,4
All,female x 40-49,187,green,1.2962962962962965,5
All,female x 40-49,27,green,2.5,4
All,female x 40-49,311,green,2.2222222222222223,6
All,female x 40-49,157,green,8.055555555555555,4
All,female x 40-49,174,green,5.0,4
All,female x 40-49,108,green,5.0,4
All,female x 40-49,21,green,3.3333333333333335,4
All,female x 40-49,247,green,8.333333333333334,5
All,female x 40-49,318,green,5.277777777777779,6
All,female x 40-49,2,green,1.9259259259259263,5
All,female x 40-49,37,green,1.6666666666666667,4
All,female x 40-49,366,green,4.166666666666667,4
