country,gender_age_group_ahi_3_remapped,Image,Question,Score,Num_comparisons
All,female x 40-49 x bottom,268,beautiful,5.833333333333334,4
All,female x 40-49 x bottom,130,beautiful,7.222222222222222,4
All,female x 40-49 x bottom,78,live nearby,5.0,4
All,female x 40-49 x bottom,50,live nearby,1.9444444444444446,4
All,female x 40-49 x bottom,109,live nearby,3.3333333333333335,4
All,female x 40-49 x bottom,393,live nearby,6.296296296296297,6
All,female x 40-49 x bottom,113,live nearby,2.5,4
All,female x 40-49 x bottom,329,live nearby,4.722222222222222,4
All,female x 40-49 x bottom,63,cycle,2.2222222222222228,4
All,female x 40-49 x bottom,267,cycle,7.083333333333334,4
All,female x 40-49 x bottom,397,cycle,3.3333333333333335,4
All,female x 40-49 x bottom,255,cycle,6.666666666666667,4
All,female x 40-49 x bottom,234,cycle,2.666666666666667,5
All,female x 40-49 x bottom,83,cycle,5.833333333333334,4
All,female x 40-49 x bottom,254,cycle,2.0833333333333335,4
All,female x 40-49 x bottom,194,walk,4.62962962962963,4
All,female x 40-49 x bottom,77,green,2.361111111111111,4
All,female x 40-49 x bottom,22,green,2.5,4
All,female x 30-39 x bottom,186,safe,4.166666666666667,4
All,female x 30-39 x bottom,163,safe,1.2592592592592597,4
All,female x 30-39 x bottom,155,safe,2.666666666666667,4
All,female x 30-39 x bottom,46,safe,5.0,4
All,female x 30-39 x bottom,330,safe,3.3333333333333335,4
All,female x 30-39 x bottom,296,safe,5.0,4
All,female x 30-39 x bottom,143,safe,6.222222222222223,5
All,female x 30-39 x bottom,383,safe,6.666666666666667,4
All,female x 30-39 x bottom,165,safe,4.333333333333334,5
All,female x 30-39 x bottom,60,safe,3.3333333333333335,4
All,female x 30-39 x bottom,116,safe,3.3333333333333335,4
All,female x 30-39 x bottom,355,lively,2.5,4
All,female x 30-39 x bottom,102,lively,4.166666666666667,4
All,female x 30-39 x bottom,228,lively,3.444444444444444,5
All,female x 30-39 x bottom,24,lively,5.0,4
All,female x 30-39 x bottom,50,lively,2.407407407407408,4
All,female x 30-39 x bottom,30,lively,3.3333333333333335,4
All,female x 30-39 x bottom,287,lively,5.0,4
All,female x 30-39 x bottom,34,lively,0.8333333333333334,4
All,female x 30-39 x bottom,25,lively,2.1296296296296298,4
All,female x 30-39 x bottom,270,lively,1.9444444444444446,4
All,female x 30-39 x bottom,95,lively,6.166666666666667,4
All,female x 30-39 x bottom,184,boring,5.833333333333334,4
All,female x 30-39 x bottom,379,boring,3.611111111111111,4
All,female x 30-39 x bottom,140,boring,7.083333333333334,4
All,female x 30-39 x bottom,289,boring,3.3333333333333335,4
All,female x 30-39 x bottom,250,wealthy,6.7592592592592595,4
All,female x 30-39 x bottom,68,wealthy,4.722222222222222,4
All,female x 30-39 x bottom,42,wealthy,4.166666666666667,4
All,female x 30-39 x bottom,46,wealthy,3.611111111111111,4
All,female x 30-39 x bottom,93,wealthy,2.3333333333333335,5
All,female x 30-39 x bottom,91,wealthy,3.740740740740741,5
All,female x 30-39 x bottom,348,wealthy,6.166666666666667,5
All,female x 30-39 x bottom,145,wealthy,3.3333333333333335,4
All,female x 30-39 x bottom,58,depressing,5.333333333333333,5
All,female x 30-39 x bottom,153,depressing,2.0833333333333335,4
All,female x 30-39 x bottom,53,depressing,4.166666666666667,4
All,female x 30-39 x bottom,66,depressing,7.037037037037037,4
All,female x 30-39 x bottom,216,depressing,5.740740740740741,4
All,female x 30-39 x bottom,140,depressing,5.0,4
All,female x 30-39 x bottom,31,depressing,5.25925925925926,6
All,female x 30-39 x bottom,308,depressing,4.166666666666667,4
All,female x 30-39 x bottom,381,depressing,2.0833333333333335,4
All,female x 30-39 x bottom,243,depressing,2.777777777777778,4
All,female x 30-39 x bottom,13,depressing,6.666666666666667,4
All,female x 30-39 x bottom,331,depressing,2.2222222222222228,4
All,female x 30-39 x bottom,105,depressing,5.833333333333334,4
All,female x 30-39 x bottom,327,beautiful,5.833333333333334,4
All,female x 30-39 x bottom,154,beautiful,6.666666666666667,4
All,female x 30-39 x bottom,3,beautiful,3.3333333333333335,4
All,female x 30-39 x bottom,42,beautiful,2.777777777777778,4
All,female x 30-39 x bottom,29,beautiful,2.0833333333333335,4
All,female x 30-39 x bottom,209,beautiful,7.5,4
All,female x 30-39 x bottom,148,beautiful,4.888888888888888,5
All,female x 30-39 x bottom,292,beautiful,6.666666666666667,4
All,female x 30-39 x bottom,368,live nearby,4.907407407407408,6
All,female x 30-39 x bottom,63,live nearby,4.4444444444444455,4
All,female x 30-39 x bottom,3,live nearby,1.527777777777778,4
All,female x 30-39 x bottom,253,live nearby,6.111111111111112,7
All,female x 30-39 x bottom,164,live nearby,3.6111111111111116,4
All,female x 30-39 x bottom,103,live nearby,2.6388888888888893,5
All,female x 30-39 x bottom,27,live nearby,4.166666666666667,4
All,female x 30-39 x bottom,362,live nearby,6.666666666666667,6
All,female x 30-39 x bottom,240,live nearby,2.8571428571428577,4
All,female x 30-39 x bottom,58,cycle,4.666666666666667,5
All,female x 30-39 x bottom,199,cycle,3.3333333333333335,6
All,female x 30-39 x bottom,244,cycle,3.3333333333333335,4
All,female x 30-39 x bottom,367,cycle,7.916666666666667,4
All,female x 30-39 x bottom,302,cycle,3.3333333333333335,4
All,female x 30-39 x bottom,337,cycle,4.166666666666667,4
All,female x 30-39 x bottom,112,cycle,8.333333333333334,6
All,female x 30-39 x bottom,301,cycle,3.5833333333333335,5
All,female x 30-39 x bottom,80,cycle,5.833333333333334,4
All,female x 30-39 x bottom,279,cycle,5.0,4
All,female x 30-39 x bottom,243,cycle,3.666666666666667,5
All,female x 30-39 x bottom,196,walk,2.5,4
All,female x 30-39 x bottom,22,walk,2.0833333333333335,4
All,female x 30-39 x bottom,189,walk,7.083333333333334,4
All,female x 30-39 x bottom,323,walk,6.666666666666667,4
All,female x 30-39 x bottom,95,walk,5.0,4
All,female x 30-39 x bottom,304,green,3.7962962962962963,4
All,female x 30-39 x bottom,29,green,3.3333333333333335,5
All,male x Above 50 x upper,380,safe,6.9444444444444455,5
All,male x Above 50 x upper,342,safe,3.037037037037037,5
All,male x Above 50 x upper,142,safe,2.5396825396825395,7
All,male x Above 50 x upper,38,safe,6.166666666666667,4
All,male x Above 50 x upper,344,safe,4.444444444444445,4
All,male x Above 50 x upper,299,safe,2.0833333333333335,4
All,male x Above 50 x upper,68,safe,2.666666666666667,5
All,male x Above 50 x upper,286,safe,1.25,4
All,male x Above 50 x upper,63,safe,4.166666666666667,4
All,male x Above 50 x upper,336,safe,3.611111111111111,6
All,male x Above 50 x upper,53,safe,2.8888888888888893,5
All,male x Above 50 x upper,340,safe,5.833333333333334,4
All,male x Above 50 x upper,97,safe,8.055555555555555,4
All,male x Above 50 x upper,236,safe,4.444444444444445,4
All,male x Above 50 x upper,350,safe,4.333333333333334,5
All,male x Above 50 x upper,264,safe,1.6666666666666667,4
All,male x Above 50 x upper,41,safe,1.3888888888888893,4
All,male x Above 50 x upper,245,safe,1.9444444444444446,4
All,male x Above 50 x upper,3,safe,3.611111111111111,6
All,male x Above 50 x upper,47,safe,5.333333333333334,5
All,male x Above 50 x upper,386,safe,3.814814814814815,6
All,male x Above 50 x upper,319,safe,7.777777777777777,4
All,male x Above 50 x upper,218,safe,2.2222222222222223,6
All,male x Above 50 x upper,172,safe,1.1111111111111114,5
All,male x Above 50 x upper,86,safe,3.055555555555556,4
All,male x Above 50 x upper,165,safe,5.833333333333334,4
All,male x Above 50 x upper,373,safe,2.361111111111111,4
All,male x Above 50 x upper,194,safe,4.166666666666667,4
All,male x Above 50 x upper,333,safe,8.333333333333334,4
All,male x Above 50 x upper,88,safe,5.0,4
All,male x Above 50 x upper,345,safe,4.513888888888888,6
All,male x Above 50 x upper,224,safe,4.722222222222222,4
All,male x Above 50 x upper,248,safe,6.666666666666667,4
All,male x Above 50 x upper,18,safe,3.611111111111111,4
All,male x Above 50 x upper,141,safe,1.6666666666666667,4
All,male x Above 50 x upper,177,safe,2.666666666666667,5
All,male x Above 50 x upper,315,safe,4.25,10
All,male x Above 50 x upper,148,safe,6.111111111111112,4
All,male x Above 50 x upper,288,safe,6.12037037037037,5
All,male x Above 50 x upper,366,safe,6.75,5
All,male x Above 50 x upper,23,safe,3.5185185185185186,4
All,male x Above 50 x upper,74,safe,1.6666666666666667,4
All,male x Above 50 x upper,120,safe,5.333333333333334,5
All,male x Above 50 x upper,98,safe,5.104166666666667,8
All,male x Above 50 x upper,175,safe,6.638888888888889,4
All,male x Above 50 x upper,365,safe,7.555555555555555,4
All,male x Above 50 x upper,140,safe,5.5,6
All,male x Above 50 x upper,380,lively,5.833333333333334,4
All,male x Above 50 x upper,21,lively,4.388888888888889,5
All,male x Above 50 x upper,52,lively,6.7407407407407405,5
All,male x Above 50 x upper,55,lively,5.0,4
All,male x Above 50 x upper,134,lively,1.8333333333333335,4
All,male x Above 50 x upper,299,lively,4.074074074074074,6
All,male x Above 50 x upper,63,lively,5.083333333333334,5
All,male x Above 50 x upper,336,lively,5.654761904761906,7
All,male x Above 50 x upper,104,lively,4.166666666666667,4
All,male x Above 50 x upper,376,lively,4.666666666666667,5
All,male x Above 50 x upper,236,lively,5.0,4
All,male x Above 50 x upper,282,lively,1.851851851851852,4
All,male x Above 50 x upper,41,lively,5.0,4
All,male x Above 50 x upper,245,lively,6.944444444444444,4
All,male x Above 50 x upper,132,lively,3.1944444444444446,4
All,male x Above 50 x upper,192,lively,3.3333333333333335,4
All,male x Above 50 x upper,386,lively,8.333333333333334,4
All,male x Above 50 x upper,359,lively,8.88888888888889,4
All,male x Above 50 x upper,218,lively,3.666666666666667,5
All,male x Above 50 x upper,373,lively,7.083333333333334,4
All,male x Above 50 x upper,244,lively,4.0,5
All,male x Above 50 x upper,116,lively,1.6666666666666667,5
All,male x Above 50 x upper,253,lively,1.6666666666666667,4
All,male x Above 50 x upper,362,lively,7.666666666666666,4
All,male x Above 50 x upper,59,lively,5.944444444444445,5
All,male x Above 50 x upper,183,lively,2.666666666666667,5
All,male x Above 50 x upper,194,lively,4.166666666666667,4
All,male x Above 50 x upper,81,lively,3.3333333333333335,4
All,male x Above 50 x upper,149,lively,6.666666666666667,4
All,male x Above 50 x upper,393,lively,5.972222222222222,4
All,male x Above 50 x upper,11,lively,1.9444444444444446,4
All,male x Above 50 x upper,273,lively,5.416666666666667,4
All,male x Above 50 x upper,301,lively,2.5,4
All,male x Above 50 x upper,154,lively,3.6111111111111116,4
All,male x Above 50 x upper,272,lively,5.0,4
All,male x Above 50 x upper,120,lively,5.0,4
All,male x Above 50 x upper,294,lively,0.8333333333333334,4
All,male x Above 50 x upper,57,lively,4.722222222222222,4
All,male x Above 50 x upper,166,lively,4.166666666666667,4
All,male x Above 50 x upper,370,boring,2.5,4
All,male x Above 50 x upper,380,boring,1.6666666666666667,4
All,male x Above 50 x upper,342,boring,4.166666666666667,4
All,male x Above 50 x upper,52,boring,4.761904761904762,7
All,male x Above 50 x upper,207,boring,4.666666666666667,5
All,male x Above 50 x upper,214,boring,5.317460317460318,4
All,male x Above 50 x upper,17,boring,6.5,5
All,male x Above 50 x upper,71,boring,3.3333333333333335,4
All,male x Above 50 x upper,61,boring,5.833333333333334,4
All,male x Above 50 x upper,329,boring,2.2222222222222228,4
All,male x Above 50 x upper,97,boring,2.0833333333333335,4
All,male x Above 50 x upper,321,boring,2.2222222222222228,4
All,male x Above 50 x upper,282,boring,2.5,4
All,male x Above 50 x upper,12,boring,3.8888888888888884,4
All,male x Above 50 x upper,211,boring,5.777777777777779,5
All,male x Above 50 x upper,124,boring,6.785714285714286,7
All,male x Above 50 x upper,143,boring,5.0,4
All,male x Above 50 x upper,284,boring,2.777777777777778,6
All,male x Above 50 x upper,359,boring,4.333333333333334,4
All,male x Above 50 x upper,42,boring,2.0833333333333335,4
All,male x Above 50 x upper,172,boring,7.095238095238096,7
All,male x Above 50 x upper,194,boring,5.666666666666667,5
All,male x Above 50 x upper,325,boring,5.0,4
All,male x Above 50 x upper,266,boring,1.9444444444444446,4
All,male x Above 50 x upper,26,boring,5.833333333333334,4
All,male x Above 50 x upper,338,boring,4.222222222222222,4
All,male x Above 50 x upper,39,boring,8.703703703703704,4
All,male x Above 50 x upper,398,boring,5.500000000000001,5
All,male x Above 50 x upper,110,boring,6.111111111111111,4
All,male x Above 50 x upper,23,boring,5.416666666666667,4
All,male x Above 50 x upper,21,wealthy,5.793650793650794,7
All,male x Above 50 x upper,243,wealthy,4.444444444444445,4
All,male x Above 50 x upper,392,wealthy,3.3333333333333335,4
All,male x Above 50 x upper,299,wealthy,5.277777777777778,4
All,male x Above 50 x upper,371,wealthy,4.166666666666667,4
All,male x Above 50 x upper,33,wealthy,6.37037037037037,5
All,male x Above 50 x upper,31,wealthy,3.055555555555556,4
All,male x Above 50 x upper,219,wealthy,2.5,4
All,male x Above 50 x upper,101,wealthy,2.5,4
All,male x Above 50 x upper,192,wealthy,7.222222222222222,4
All,male x Above 50 x upper,386,wealthy,7.083333333333334,4
All,male x Above 50 x upper,323,wealthy,8.333333333333334,4
All,male x Above 50 x upper,83,wealthy,2.5,4
All,male x Above 50 x upper,173,wealthy,3.75,4
All,male x Above 50 x upper,165,wealthy,6.203703703703704,4
All,male x Above 50 x upper,116,wealthy,3.833333333333334,5
All,male x Above 50 x upper,117,wealthy,2.2222222222222228,4
All,male x Above 50 x upper,333,wealthy,6.666666666666667,4
All,male x Above 50 x upper,88,wealthy,7.083333333333334,4
All,male x Above 50 x upper,283,wealthy,6.25,4
All,male x Above 50 x upper,209,wealthy,7.638888888888888,4
All,male x Above 50 x upper,379,wealthy,5.833333333333334,4
All,male x Above 50 x upper,24,wealthy,3.3333333333333335,4
All,male x Above 50 x upper,187,wealthy,4.166666666666667,4
All,male x Above 50 x upper,13,wealthy,1.3888888888888893,4
All,male x Above 50 x upper,367,wealthy,8.0,5
All,male x Above 50 x upper,374,wealthy,3.611111111111111,4
All,male x Above 50 x upper,216,wealthy,2.592592592592593,5
All,male x Above 50 x upper,372,wealthy,4.166666666666667,4
All,male x Above 50 x upper,72,wealthy,3.75,6
All,male x Above 50 x upper,397,wealthy,4.166666666666667,4
All,male x Above 50 x upper,247,depressing,2.5,4
All,male x Above 50 x upper,342,depressing,4.166666666666667,4
All,male x Above 50 x upper,142,depressing,6.388888888888888,4
All,male x Above 50 x upper,326,depressing,4.166666666666667,4
All,male x Above 50 x upper,103,depressing,6.138888888888889,5
All,male x Above 50 x upper,232,depressing,4.166666666666667,4
All,male x Above 50 x upper,170,depressing,5.333333333333334,5
All,male x Above 50 x upper,37,depressing,8.680555555555555,4
All,male x Above 50 x upper,71,depressing,4.166666666666667,4
All,male x Above 50 x upper,169,depressing,4.166666666666667,4
All,male x Above 50 x upper,340,depressing,3.8888888888888893,4
All,male x Above 50 x upper,329,depressing,5.972222222222222,4
All,male x Above 50 x upper,303,depressing,4.166666666666667,4
All,male x Above 50 x upper,69,depressing,10.0,4
All,male x Above 50 x upper,179,depressing,3.7777777777777777,5
All,male x Above 50 x upper,146,depressing,4.027777777777779,4
All,male x Above 50 x upper,12,depressing,4.222222222222223,5
All,male x Above 50 x upper,364,depressing,0.5555555555555558,4
All,male x Above 50 x upper,3,depressing,6.25,4
All,male x Above 50 x upper,78,depressing,5.0,4
All,male x Above 50 x upper,386,depressing,2.4583333333333335,5
All,male x Above 50 x upper,198,depressing,6.944444444444444,4
All,male x Above 50 x upper,369,depressing,2.018518518518519,5
All,male x Above 50 x upper,347,depressing,3.611111111111111,4
All,male x Above 50 x upper,359,depressing,2.777777777777778,6
All,male x Above 50 x upper,228,depressing,3.611111111111111,4
All,male x Above 50 x upper,322,depressing,2.388888888888889,5
All,male x Above 50 x upper,172,depressing,7.333333333333334,5
All,male x Above 50 x upper,27,depressing,5.925925925925926,4
All,male x Above 50 x upper,144,depressing,7.083333333333334,4
All,male x Above 50 x upper,62,depressing,6.666666666666667,4
All,male x Above 50 x upper,194,depressing,5.833333333333334,4
All,male x Above 50 x upper,25,depressing,6.7592592592592595,4
All,male x Above 50 x upper,81,depressing,6.25,4
All,male x Above 50 x upper,89,depressing,6.666666666666667,6
All,male x Above 50 x upper,176,depressing,5.2407407407407405,5
All,male x Above 50 x upper,8,depressing,6.309523809523809,7
All,male x Above 50 x upper,96,depressing,5.833333333333334,4
All,male x Above 50 x upper,306,depressing,2.0833333333333335,4
All,male x Above 50 x upper,158,depressing,7.5,4
All,male x Above 50 x upper,331,depressing,4.333333333333333,5
All,male x Above 50 x upper,102,depressing,4.722222222222222,4
All,male x Above 50 x upper,398,depressing,1.9722222222222223,5
All,male x Above 50 x upper,400,depressing,6.5925925925925934,5
All,male x Above 50 x upper,23,depressing,6.25,4
All,male x Above 50 x upper,76,depressing,5.555555555555555,4
All,male x Above 50 x upper,305,depressing,1.7592592592592597,4
All,male x Above 50 x upper,237,depressing,6.527777777777778,4
All,male x Above 50 x upper,175,depressing,5.5,4
All,male x Above 50 x upper,55,beautiful,5.833333333333334,4
All,male x Above 50 x upper,54,beautiful,3.3333333333333335,4
All,male x Above 50 x upper,200,beautiful,3.7222222222222223,5
All,male x Above 50 x upper,344,beautiful,4.666666666666667,5
All,male x Above 50 x upper,336,beautiful,5.0,4
All,male x Above 50 x upper,214,beautiful,3.62962962962963,5
All,male x Above 50 x upper,131,beautiful,8.333333333333334,4
All,male x Above 50 x upper,17,beautiful,2.5,4
All,male x Above 50 x upper,33,beautiful,5.555555555555556,6
All,male x Above 50 x upper,329,beautiful,5.833333333333334,4
All,male x Above 50 x upper,317,beautiful,2.5,4
All,male x Above 50 x upper,97,beautiful,1.6666666666666667,4
All,male x Above 50 x upper,321,beautiful,5.166666666666667,5
All,male x Above 50 x upper,48,beautiful,3.8888888888888893,4
All,male x Above 50 x upper,99,beautiful,3.7962962962962963,4
All,male x Above 50 x upper,245,beautiful,4.666666666666667,5
All,male x Above 50 x upper,354,beautiful,6.296296296296297,6
All,male x Above 50 x upper,126,beautiful,2.361111111111111,4
All,male x Above 50 x upper,10,beautiful,7.708333333333334,4
All,male x Above 50 x upper,167,beautiful,5.2592592592592595,5
All,male x Above 50 x upper,359,beautiful,8.194444444444445,4
All,male x Above 50 x upper,322,beautiful,5.333333333333334,5
All,male x Above 50 x upper,399,beautiful,5.833333333333334,4
All,male x Above 50 x upper,49,beautiful,5.555555555555556,4
All,male x Above 50 x upper,16,beautiful,2.0833333333333335,4
All,male x Above 50 x upper,149,beautiful,1.6666666666666667,4
All,male x Above 50 x upper,168,beautiful,6.388888888888888,4
All,male x Above 50 x upper,289,beautiful,3.611111111111111,4
All,male x Above 50 x upper,174,beautiful,7.592592592592593,6
All,male x Above 50 x upper,122,beautiful,5.833333333333334,4
All,male x Above 50 x upper,390,beautiful,6.416666666666667,4
All,male x Above 50 x upper,330,beautiful,4.666666666666667,5
All,male x Above 50 x upper,216,beautiful,1.25,4
All,male x Above 50 x upper,185,beautiful,2.5,8
All,male x Above 50 x upper,223,beautiful,1.9444444444444446,4
All,male x Above 50 x upper,178,beautiful,2.2222222222222228,4
All,male x Above 50 x upper,334,beautiful,5.0,4
All,male x Above 50 x upper,98,beautiful,7.916666666666667,4
All,male x Above 50 x upper,52,live nearby,2.916666666666667,4
All,male x Above 50 x upper,142,live nearby,1.6666666666666667,4
All,male x Above 50 x upper,95,live nearby,4.940476190476191,4
All,male x Above 50 x upper,371,live nearby,6.666666666666667,4
All,male x Above 50 x upper,336,live nearby,4.666666666666667,5
All,male x Above 50 x upper,214,live nearby,8.333333333333334,4
All,male x Above 50 x upper,170,live nearby,3.1481481481481484,4
All,male x Above 50 x upper,363,live nearby,8.793650793650794,5
All,male x Above 50 x upper,376,live nearby,1.9444444444444446,4
All,male x Above 50 x upper,33,live nearby,4.666666666666667,5
All,male x Above 50 x upper,265,live nearby,5.277777777777779,6
All,male x Above 50 x upper,161,live nearby,2.2222222222222228,5
All,male x Above 50 x upper,303,live nearby,6.111111111111111,4
All,male x Above 50 x upper,97,live nearby,6.222222222222222,5
All,male x Above 50 x upper,146,live nearby,5.222222222222222,6
All,male x Above 50 x upper,388,live nearby,5.333333333333334,5
All,male x Above 50 x upper,132,live nearby,3.0,5
All,male x Above 50 x upper,167,live nearby,5.555555555555555,4
All,male x Above 50 x upper,290,live nearby,6.851851851851851,6
All,male x Above 50 x upper,2,live nearby,6.547619047619048,7
All,male x Above 50 x upper,322,live nearby,7.142857142857143,7
All,male x Above 50 x upper,116,live nearby,4.944444444444445,5
All,male x Above 50 x upper,293,live nearby,6.666666666666667,4
All,male x Above 50 x upper,144,live nearby,6.666666666666667,4
All,male x Above 50 x upper,88,live nearby,2.2222222222222223,6
All,male x Above 50 x upper,5,live nearby,3.3333333333333335,4
All,male x Above 50 x upper,300,live nearby,5.666666666666667,5
All,male x Above 50 x upper,89,live nearby,2.666666666666667,5
All,male x Above 50 x upper,168,live nearby,4.166666666666667,4
All,male x Above 50 x upper,209,live nearby,6.011904761904762,8
All,male x Above 50 x upper,289,live nearby,3.8888888888888893,6
All,male x Above 50 x upper,197,live nearby,1.6666666666666667,4
All,male x Above 50 x upper,330,live nearby,7.777777777777777,5
All,male x Above 50 x upper,225,live nearby,5.0,4
All,male x Above 50 x upper,216,live nearby,3.111111111111111,5
All,male x Above 50 x upper,384,live nearby,7.083333333333334,5
All,male x Above 50 x upper,372,live nearby,4.166666666666667,4
All,male x Above 50 x upper,154,live nearby,1.6666666666666667,4
All,male x Above 50 x upper,72,live nearby,1.6825396825396826,4
All,male x Above 50 x upper,258,live nearby,8.222222222222223,4
All,male x Above 50 x upper,120,live nearby,2.7777777777777777,6
All,male x Above 50 x upper,35,live nearby,4.333333333333334,5
All,male x Above 50 x upper,4,live nearby,2.4444444444444446,5
All,male x Above 50 x upper,67,live nearby,5.9523809523809526,7
All,male x Above 50 x upper,313,cycle,4.777777777777778,5
All,male x Above 50 x upper,21,cycle,4.962962962962964,5
All,male x Above 50 x upper,52,cycle,2.4074074074074074,6
All,male x Above 50 x upper,392,cycle,4.444444444444445,4
All,male x Above 50 x upper,326,cycle,8.333333333333334,5
All,male x Above 50 x upper,94,cycle,2.4285714285714284,7
All,male x Above 50 x upper,214,cycle,4.166666666666667,4
All,male x Above 50 x upper,104,cycle,1.0833333333333333,4
All,male x Above 50 x upper,376,cycle,5.666666666666667,5
All,male x Above 50 x upper,304,cycle,3.8888888888888893,6
All,male x Above 50 x upper,137,cycle,6.25,4
All,male x Above 50 x upper,226,cycle,6.277777777777778,6
All,male x Above 50 x upper,135,cycle,7.841269841269842,5
All,male x Above 50 x upper,31,cycle,5.5,4
All,male x Above 50 x upper,264,cycle,6.388888888888889,4
All,male x Above 50 x upper,162,cycle,4.126984126984127,7
All,male x Above 50 x upper,64,cycle,5.888888888888889,5
All,male x Above 50 x upper,112,cycle,3.6111111111111116,4
All,male x Above 50 x upper,388,cycle,5.502645502645502,7
All,male x Above 50 x upper,9,cycle,7.916666666666667,4
All,male x Above 50 x upper,354,cycle,5.833333333333334,4
All,male x Above 50 x upper,78,cycle,4.777777777777778,5
All,male x Above 50 x upper,46,cycle,8.805555555555555,5
All,male x Above 50 x upper,279,cycle,5.666666666666667,5
All,male x Above 50 x upper,192,cycle,1.8194444444444446,6
All,male x Above 50 x upper,368,cycle,6.25,4
All,male x Above 50 x upper,251,cycle,1.4814814814814818,5
All,male x Above 50 x upper,323,cycle,6.847883597883599,7
All,male x Above 50 x upper,319,cycle,2.777777777777778,6
All,male x Above 50 x upper,115,cycle,5.333333333333334,5
All,male x Above 50 x upper,133,cycle,6.666666666666667,4
All,male x Above 50 x upper,195,cycle,5.0,4
All,male x Above 50 x upper,373,cycle,6.481481481481483,6
All,male x Above 50 x upper,362,cycle,2.5,4
All,male x Above 50 x upper,327,cycle,5.6944444444444455,4
All,male x Above 50 x upper,263,cycle,7.148148148148148,4
All,male x Above 50 x upper,194,cycle,5.333333333333333,5
All,male x Above 50 x upper,333,cycle,6.805555555555555,4
All,male x Above 50 x upper,202,cycle,4.166666666666667,4
All,male x Above 50 x upper,16,cycle,4.722222222222222,6
All,male x Above 50 x upper,130,cycle,8.333333333333334,4
All,male x Above 50 x upper,341,cycle,5.0,4
All,male x Above 50 x upper,26,cycle,9.333333333333334,4
All,male x Above 50 x upper,184,cycle,2.666666666666667,5
All,male x Above 50 x upper,331,cycle,7.777777777777777,4
All,male x Above 50 x upper,210,cycle,6.055555555555555,4
All,male x Above 50 x upper,222,cycle,3.142857142857143,7
All,male x Above 50 x upper,108,cycle,4.000000000000001,5
All,male x Above 50 x upper,287,cycle,6.208333333333334,5
All,male x Above 50 x upper,154,cycle,5.611111111111112,5
All,male x Above 50 x upper,360,cycle,3.3333333333333335,4
All,male x Above 50 x upper,397,cycle,6.0,5
All,male x Above 50 x upper,277,cycle,5.833333333333334,4
All,male x Above 50 x upper,305,cycle,4.0,5
All,male x Above 50 x upper,120,cycle,7.361111111111111,4
All,male x Above 50 x upper,370,walk,2.6388888888888893,4
All,male x Above 50 x upper,200,walk,3.1944444444444446,4
All,male x Above 50 x upper,215,walk,5.0,4
All,male x Above 50 x upper,286,walk,5.0,4
All,male x Above 50 x upper,169,walk,6.777777777777778,5
All,male x Above 50 x upper,33,walk,4.777777777777778,4
All,male x Above 50 x upper,137,walk,5.0,4
