country,age_group_2,Image,Question,Score,Num_comparisons
All,40+,173,safe,4.167903733693207,8
All,40+,377,safe,4.6947802512817995,19
All,40+,165,safe,6.539811066126856,15
All,40+,385,safe,5.685983624218919,10
All,40+,163,safe,6.128039707110915,15
All,40+,99,safe,4.251994301994302,19
All,40+,51,safe,4.5999373433583965,14
All,40+,350,safe,5.807608618496132,24
All,40+,122,safe,4.600168350168351,11
All,40+,274,safe,4.77936507936508,12
All,40+,144,safe,3.554358390529701,21
All,40+,59,safe,4.214382722786085,17
All,40+,361,safe,2.827705627705628,15
All,40+,349,safe,5.353775853775854,14
All,40+,383,safe,6.006172839506173,12
All,40+,334,safe,4.6384713144517065,17
All,40+,388,safe,5.436507936507937,12
All,40+,56,safe,5.440705128205128,13
All,40+,145,safe,3.918650793650794,8
All,40+,323,safe,3.5733405483405485,15
All,40+,258,safe,3.3564814814814823,20
All,40+,229,safe,2.8291528732705205,20
All,40+,364,safe,5.095859387526054,21
All,40+,70,safe,4.738841405508072,15
All,40+,325,safe,4.20417072774529,15
All,40+,190,safe,4.125730994152047,12
All,40+,110,safe,1.4385964912280702,10
All,40+,106,safe,6.426984126984127,10
All,40+,261,safe,4.970291146761735,17
All,40+,374,safe,2.9580310756781345,12
All,40+,395,safe,4.277032458282458,15
All,40+,186,safe,5.882310282310282,13
All,40+,400,safe,5.261099608925696,9
All,40+,167,safe,5.979055258467024,12
All,40+,314,safe,4.983115468409586,15
All,40+,248,safe,5.039274322169059,20
All,40+,6,safe,3.0130070546737215,14
All,40+,189,safe,6.185552369504898,15
All,40+,50,safe,3.5247835497835496,14
All,40+,181,safe,4.145299145299146,14
All,40+,98,safe,4.043132914843441,19
All,40+,7,safe,4.102160094807154,17
All,40+,249,safe,6.266922753506861,10
All,40+,330,safe,4.395094738231994,12
All,40+,19,safe,4.180796007111796,10
All,40+,268,safe,6.303780284043441,6
All,40+,140,safe,4.900259909031839,18
All,40+,14,safe,3.7387288780477634,11
All,40+,18,safe,3.010995626320704,18
All,40+,382,safe,4.085700362016151,20
All,40+,387,safe,3.93939393939394,10
All,40+,224,safe,4.959768492377189,12
All,40+,213,safe,4.611292752082226,19
All,40+,133,safe,4.904739958661527,18
All,40+,112,safe,4.945140629351156,14
All,40+,244,safe,4.085168583852794,15
All,40+,267,safe,5.487816269107734,20
All,40+,192,safe,5.7481605702709935,10
All,40+,359,safe,4.436952080140935,18
All,40+,352,safe,4.2595186222637205,14
All,40+,393,safe,4.830246913580247,12
All,40+,236,safe,3.564608409783849,20
All,40+,272,safe,4.768717293485095,17
All,40+,179,safe,4.2100877192982455,19
All,40+,121,safe,5.345550079005962,16
All,40+,222,safe,5.3913007653203735,13
All,40+,397,safe,6.73418710918711,11
All,40+,149,safe,3.879772868743457,17
All,40+,373,safe,4.636336457659988,17
All,40+,26,safe,4.175368978000557,14
All,40+,297,safe,4.559711747947042,15
All,40+,31,safe,4.735294117647059,17
All,40+,91,safe,2.710144927536232,14
All,40+,384,safe,5.642857142857143,15
All,40+,107,safe,4.566868460057315,11
All,40+,62,safe,3.6480094466936572,13
All,40+,230,safe,4.4745069745069745,9
All,40+,316,safe,4.526962881173408,25
All,40+,346,safe,4.940566378066378,12
All,40+,109,safe,4.484828162034044,14
All,40+,271,safe,4.618284292197336,21
All,40+,290,safe,4.7896825396825395,10
All,40+,152,safe,5.055555555555555,10
All,40+,315,safe,5.046657046657047,21
All,40+,148,safe,4.663228927934811,11
All,40+,291,safe,5.126984126984127,14
All,40+,351,safe,5.135969803865887,20
All,40+,39,safe,5.117591028968738,19
All,40+,321,safe,5.35273368606702,9
All,40+,284,safe,4.0710103485838784,18
All,40+,354,safe,7.204132965226877,9
All,40+,128,safe,4.266024128949826,15
All,40+,389,safe,7.5,8
All,40+,390,safe,4.689143895493102,22
All,40+,322,safe,4.282511835143414,19
All,40+,282,safe,4.447145447145448,13
All,40+,365,safe,6.0092203548085905,16
All,40+,338,safe,4.88328664799253,14
All,40+,28,safe,4.6869149369149365,14
All,40+,246,safe,4.673202614379085,6
All,40+,132,safe,5.951058201058201,16
All,40+,398,safe,4.934663046505151,19
All,40+,368,safe,4.774248698161742,12
All,40+,360,safe,5.7731516849163915,17
All,40+,273,safe,3.8457881488355694,17
All,40+,130,safe,4.54650515176831,10
All,40+,227,safe,5.410052910052911,6
All,40+,288,safe,4.90996533566193,17
All,40+,180,safe,6.1798342474543855,14
All,40+,270,safe,4.324675324675325,15
All,40+,254,safe,3.3075651673174895,13
All,40+,242,safe,4.467541402525923,19
All,40+,240,safe,4.955176402544824,13
All,40+,379,safe,4.513468013468014,11
All,40+,2,safe,4.862267634326458,15
All,40+,386,safe,3.6688628442830127,16
All,40+,126,safe,4.615384615384616,12
All,40+,9,safe,4.888803295140697,23
All,40+,146,safe,4.0962962962962965,18
All,40+,57,safe,4.730513523857177,14
All,40+,183,safe,3.83465532793336,14
All,40+,187,safe,4.4546783625731,25
All,40+,233,safe,4.003565115573077,12
All,40+,12,safe,5.04067206592782,17
All,40+,264,safe,4.252136752136752,13
All,40+,320,safe,4.994553376906318,8
All,40+,162,safe,5.974578470819073,19
All,40+,311,safe,7.150029007704446,10
All,40+,3,safe,4.491487506683585,18
All,40+,101,safe,5.332354362685246,21
All,40+,79,safe,4.962121212121213,9
All,40+,47,safe,4.743518518518519,18
All,40+,8,safe,3.549693362193362,12
All,40+,182,safe,5.100640576743518,14
All,40+,289,safe,3.931047347714015,15
All,40+,157,safe,5.255514099476948,17
All,40+,251,safe,3.3124406457739792,10
All,40+,191,safe,6.000829896701929,17
All,40+,209,safe,4.84967320261438,15
All,40+,283,safe,7.6575244130962075,14
All,40+,74,safe,3.311769811130425,17
All,40+,193,safe,3.9652056562811717,8
All,40+,138,safe,4.614452798663326,18
All,40+,366,safe,5.677790640652959,15
All,40+,221,safe,5.431607613805757,18
All,40+,287,safe,4.053066694514063,26
All,40+,108,safe,2.9283958597684085,14
All,40+,174,safe,4.583333333333334,8
All,40+,292,safe,4.312581517185098,17
All,40+,396,safe,3.6120731120731118,12
All,40+,123,safe,4.299429128376498,15
All,40+,295,safe,4.325396825396825,7
All,40+,257,safe,4.434206229929915,19
All,40+,375,safe,5.042319688109162,19
All,40+,195,safe,5.320454545454546,10
All,40+,367,safe,4.94949494949495,10
All,40+,89,safe,3.8184778184778185,15
All,40+,43,safe,3.844590959722538,15
All,40+,198,safe,5.5209551656920075,15
All,40+,141,safe,4.488754491695669,14
All,40+,347,safe,6.144892144892146,9
All,40+,275,safe,5.447960916760367,19
All,40+,296,safe,4.723569008500087,19
All,40+,399,safe,5.332084086292678,22
All,40+,25,safe,4.426333069521924,11
All,40+,234,safe,4.784188034188034,16
All,40+,327,safe,5.590825097834043,19
All,40+,168,safe,3.6054202242927733,14
All,40+,203,lively,4.971328963434226,14
All,40+,305,lively,5.008550612598683,18
All,40+,276,lively,4.423945335710042,18
All,40+,45,lively,4.952888478623773,17
All,40+,380,lively,5.456457692870737,23
All,40+,277,lively,3.3664021164021163,15
All,40+,262,lively,5.256410256410256,10
All,40+,278,lively,5.990741613597006,13
All,40+,69,lively,3.3497807017543857,12
All,40+,83,lively,2.3992830086580086,16
All,40+,11,lively,4.663580246913581,20
All,40+,85,lively,3.636571025171202,15
All,40+,328,lively,4.894512894512895,13
All,40+,340,lively,5.5254010695187175,10
All,40+,223,lively,6.2753154253154255,15
All,40+,120,lively,3.0163817663817665,13
All,40+,169,lively,3.849239186739187,16
All,40+,58,lively,4.638580960949382,19
All,40+,42,lively,4.5358220211161395,10
All,40+,381,lively,5.972222222222222,4
All,40+,64,lively,5.014180264180265,13
All,40+,150,lively,2.1323454323454323,13
All,40+,80,lively,4.453703703703703,12
All,40+,13,lively,2.994384790953419,17
All,40+,207,lively,3.932146448322919,13
All,40+,237,lively,4.670240041761781,23
All,40+,176,lively,4.570810037915302,19
All,40+,67,lively,7.209876543209877,8
All,40+,217,lively,4.00462962962963,15
All,40+,35,lively,4.87736900780379,13
All,40+,161,lively,4.341755466755467,22
All,40+,348,lively,4.073891094899498,13
All,40+,307,lively,5.277777777777779,12
All,40+,73,lively,4.564153439153439,20
All,40+,164,lively,4.888888888888889,15
All,40+,100,lively,2.451967592592593,18
All,40+,16,lively,3.1369301994301995,20
All,40+,219,lively,5.2961309523809526,14
All,40+,332,lively,5.942692228406514,15
All,40+,44,lively,5.64959114959115,15
All,40+,72,lively,3.5626790566483546,18
All,40+,308,lively,3.8554931588019823,11
All,40+,94,lively,2.460289166171519,11
All,40+,206,lively,4.141025641025641,6
All,40+,5,lively,3.4088442230857092,21
All,40+,319,lively,4.080931146148537,15
All,40+,326,lively,5.170462213225372,15
All,40+,119,lively,3.5827999461347537,19
All,40+,331,lively,4.56894212025791,19
All,40+,286,lively,4.6344797178130515,18
All,40+,302,lively,4.68915343915344,12
All,40+,241,lively,5.095875345939845,16
All,40+,337,lively,7.903325445439448,18
All,40+,300,lively,3.3921743461217146,11
All,40+,10,lively,3.851984126984127,14
All,40+,114,lively,5.120117491441021,14
All,40+,76,lively,5.397135558513268,22
All,40+,185,lively,4.563674142621512,17
All,40+,4,lively,4.567575041917147,15
All,40+,124,lively,3.2337765004173677,17
All,40+,78,lively,5.784409956340903,15
All,40+,312,lively,5.21979902407534,21
All,40+,293,lively,5.943903318903319,16
All,40+,252,lively,3.0543650793650796,14
All,40+,208,lively,5.414209864209864,15
All,40+,125,lively,4.691889764982262,21
All,40+,159,lively,3.628637330353017,16
All,40+,38,lively,4.826097513597514,12
All,40+,178,lively,2.573756354393609,18
All,40+,82,lively,4.294100740529312,12
All,40+,52,lively,5.398148148148149,15
All,40+,235,lively,3.0188492063492065,16
All,40+,212,lively,4.501262626262626,11
All,40+,301,lively,4.0243386243386245,21
All,40+,111,lively,3.3992131352286656,19
All,40+,48,lively,4.239858906525574,14
All,40+,201,lively,3.5718016074053227,11
All,40+,194,lively,4.295926295926296,14
All,40+,93,lively,4.782416921702636,13
All,40+,363,lively,4.959189231248055,17
All,40+,317,lively,3.926700431634642,16
All,40+,210,lively,4.302350427350428,15
All,40+,370,lively,4.789726601554558,18
All,40+,247,lively,5.01525668747031,14
All,40+,342,lively,6.74294532627866,16
All,40+,118,lively,3.0444133752957283,14
All,40+,313,lively,5.019548872180452,19
All,40+,21,lively,3.4624993849098713,22
All,40+,243,lively,4.094179894179894,15
All,40+,378,lively,4.634891456582634,16
All,40+,55,lively,5.419933461600128,18
All,40+,238,lively,4.5501893939393945,12
All,40+,142,lively,2.273420479302832,17
All,40+,392,lively,7.039914249709571,15
All,40+,196,lively,4.685711279461279,16
All,40+,60,lively,3.955804544039838,17
All,40+,103,lively,5.334702978181239,13
All,40+,232,lively,2.793233082706767,10
All,40+,77,lively,5.110902255639098,19
All,40+,134,lively,3.7649145271793123,31
All,40+,95,lively,4.796418396418397,13
All,40+,54,lively,1.7858019869298067,16
All,40+,200,lively,5.1356837606837615,13
All,40+,215,lively,3.0815508021390374,11
All,40+,344,lively,4.821682946682947,13
All,40+,299,lively,4.875522243685299,17
All,40+,68,lively,5.989492246173832,17
All,40+,84,lively,4.191590086326928,7
All,40+,90,lively,3.9484693419049766,17
All,40+,371,lively,5.6094297677631015,10
All,40+,30,lively,4.217417622319583,17
All,40+,105,lively,4.970763939633826,23
All,40+,63,lively,6.200227246666875,22
All,40+,336,lively,5.672306742703163,23
All,40+,214,lively,4.583944604777939,10
All,40+,309,lively,3.105019493177388,10
All,40+,170,lively,3.8720238095238098,10
All,40+,104,lively,4.973706548009954,19
All,40+,131,lively,4.981590667865178,22
All,40+,37,lively,3.323135198135198,12
All,40+,17,lively,4.6307435254803675,18
All,40+,171,lively,3.88877607899347,12
All,40+,71,lively,6.883516299876593,17
All,40+,53,lively,3.4555479242979246,15
All,40+,376,lively,5.258558979147215,15
All,40+,61,lively,3.6032046657046664,15
All,40+,205,lively,3.3444081336238196,17
All,40+,113,lively,5.087606837606837,15
All,40+,304,lively,4.96499828001376,15
All,40+,324,lively,4.71125116713352,13
All,40+,33,lively,7.328591978101781,13
All,40+,32,lively,4.378561253561254,12
All,40+,137,lively,2.0819304152637486,11
All,40+,329,lively,3.729197249911988,11
All,40+,265,lively,3.9956556696752776,16
All,40+,226,lively,3.173904220779221,20
All,40+,285,lively,4.669312169312169,9
All,40+,66,lively,5.136243386243386,9
All,40+,353,lively,5.113228865749874,17
All,40+,303,lively,7.547612880946215,11
All,40+,129,lively,3.6779448621553885,21
All,40+,333,lively,8.016095820443647,11
All,40+,20,lively,3.805761232231821,11
All,40+,87,lively,5.186997943576891,14
All,40+,310,lively,5.09693313222725,15
All,40+,345,lively,5.691593809240868,10
All,40+,115,lively,4.991993873572821,12
All,40+,156,lively,5.117787183576658,11
All,40+,253,lively,4.31465108965109,20
All,40+,202,lively,6.023580960161842,18
All,40+,117,lively,5.401006092672759,14
All,40+,188,lively,2.9711538461538463,8
All,40+,259,lively,5.254510921177588,13
All,40+,211,lively,4.814814814814815,13
All,40+,245,lively,7.0316588173731045,14
All,40+,155,lively,3.895005010551229,20
All,40+,260,lively,2.2454092748210397,18
All,40+,153,lively,4.984567901234568,16
All,40+,1,lively,5.340314913844326,15
All,40+,197,lively,5.201776437070555,15
All,40+,263,lively,5.310592185592186,12
All,40+,266,lively,5.631396658228444,9
All,40+,34,lively,3.2948070448070452,13
All,40+,136,lively,4.329923956762192,13
All,40+,269,lively,6.515842632162077,18
All,40+,341,lively,7.553716994506467,16
All,40+,391,lively,5.010893246187364,15
All,40+,40,lively,2.628968253968254,9
All,40+,154,lively,3.6393163653225575,16
All,40+,41,lively,4.405491240785359,15
All,40+,102,lively,2.777940577940578,13
All,40+,24,lively,4.69775778356341,17
All,40+,394,lively,7.219780219780221,15
All,40+,280,lively,3.5280151946818616,13
All,40+,49,lively,5.50882466871889,16
All,40+,318,lively,3.678919631093544,15
All,40+,75,lively,4.38325233227194,18
All,40+,298,lively,4.012842712842713,11
All,40+,218,lively,5.250997368644428,11
All,40+,29,lively,2.461519961519962,12
All,40+,65,lively,3.2761437908496736,12
All,40+,158,lively,4.112128612128613,18
All,40+,160,lively,2.385076252723312,16
All,40+,23,lively,6.613965744400527,11
All,40+,166,lively,4.56742836865386,21
All,40+,306,lively,6.329238723665969,10
All,40+,177,lively,2.2222222222222228,8
All,40+,96,lively,4.613536155202822,12
All,40+,204,lively,4.065118704824587,26
All,40+,225,lively,4.535579804406176,26
All,40+,22,lively,4.982088087351245,9
All,40+,139,lively,4.048846016587952,15
All,40+,239,lively,4.160661931043768,19
All,40+,356,lively,8.481803542673108,9
All,40+,175,lively,3.4041652791652797,9
All,40+,92,lively,2.6386243386243384,15
All,40+,81,lively,4.276334776334777,18
All,40+,36,lively,5.072224072224072,11
All,40+,172,lively,3.5554990277212495,21
All,40+,27,lively,3.804330065359478,17
All,40+,362,lively,7.287290293169093,27
All,40+,372,lively,6.705304771481243,13
All,40+,220,lively,4.590155697224842,14
All,40+,46,lively,3.502600408850409,20
All,40+,343,lively,4.637591575091575,13
All,40+,147,lively,4.004948646125117,15
All,40+,358,lively,5.732487488002194,11
All,40+,151,lively,3.8426898537192655,17
All,40+,97,lively,7.373161764705882,16
All,40+,199,lively,6.007240323029797,14
All,40+,86,lively,4.665594479517876,18
All,40+,228,lively,5.011580358639182,12
All,40+,216,lively,3.7532192617596345,16
All,40+,294,lively,2.8612247297909064,18
All,40+,135,lively,7.633024691358025,16
All,40+,279,lively,4.339707796229536,18
All,40+,231,lively,6.28986345462318,21
All,40+,116,lively,2.515213806661175,18
All,40+,256,lively,2.3387558004431073,17
All,40+,281,lively,3.6850140056022407,11
All,40+,15,lively,4.36965811965812,13
All,40+,184,lively,4.827711640211641,17
All,40+,127,lively,3.833333333333333,10
All,40+,250,lively,5.619425887775584,14
All,40+,339,lively,5.97868855144397,14
All,40+,88,lively,4.438311688311688,14
All,40+,335,lively,5.094627594627594,14
All,40+,369,lively,6.322464821429625,18
All,40+,355,lively,6.657672703891191,14
All,40+,143,lively,4.739265364265365,14
All,40+,255,lively,5.911297852474323,12
All,40+,357,lively,5.376633986928105,12
All,40+,173,lively,4.29041467200035,13
All,40+,377,lively,6.620268620268621,15
All,40+,165,lively,6.2592592592592595,5
All,40+,385,lively,6.414562289562289,14
All,40+,163,lively,2.789351851851852,12
All,40+,99,lively,4.058700558700559,14
All,40+,51,lively,5.154340104340104,14
All,40+,350,lively,6.612582414882282,19
All,40+,122,lively,4.023731084876596,19
All,40+,274,lively,3.5223171889838563,9
All,40+,144,lively,3.1954304954304953,18
All,40+,59,lively,4.726332926332927,15
All,40+,361,lively,8.525252525252526,12
All,40+,349,lively,6.65341883969335,15
All,40+,383,lively,5.9639485423799155,14
All,40+,334,lively,5.304972804972805,13
All,40+,388,lively,7.237179487179487,12
All,40+,56,lively,4.453601953601954,14
All,40+,145,lively,3.411324786324787,10
All,40+,323,lively,7.489583333333334,15
All,40+,258,lively,5.833333333333334,8
All,40+,229,lively,4.372583435083436,20
All,40+,364,lively,4.795940170940171,13
All,40+,70,lively,5.174679487179487,10
All,40+,325,lively,5.027106227106228,14
All,40+,190,lively,4.256368044293741,17
All,40+,110,lively,4.018389018389018,9
All,40+,106,lively,2.069951653284987,13
All,40+,261,lively,3.4166666666666665,12
All,40+,374,lively,5.900638153662347,15
All,40+,395,lively,3.5572302094041226,13
All,40+,186,lively,3.6487670825906124,11
All,40+,400,lively,3.7436493789434966,10
All,40+,167,lively,3.7968549243059053,18
All,40+,314,lively,4.151801378446115,16
All,40+,248,lively,3.798234037204626,6
All,40+,6,lively,3.2871104357172474,17
All,40+,189,lively,5.124708624708625,16
All,40+,50,lively,2.73989898989899,11
All,40+,181,lively,4.860851158645277,16
All,40+,98,lively,2.8763227513227516,16
All,40+,7,lively,5.023647660818713,15
All,40+,249,lively,4.583333333333334,8
All,40+,330,lively,6.262216881702176,16
All,40+,19,lively,5.854017935676686,14
All,40+,268,lively,5.0110812843655985,15
All,40+,140,lively,4.411405587876176,14
All,40+,14,lively,4.684114520660909,22
All,40+,18,lively,3.3051994301994303,20
All,40+,382,lively,5.652405699507149,23
All,40+,387,lively,5.7465452922157345,17
All,40+,224,lively,4.958333333333334,12
All,40+,213,lively,5.263888888888889,12
All,40+,133,lively,5.615121262180086,18
All,40+,112,lively,2.9390440477397,18
All,40+,244,lively,2.4972431077694237,14
All,40+,267,lively,5.6077624617098305,16
