country,gender_ahi_3_remapped,Image,Question,Score,Num_comparisons
All,female x middle,180,safe,4.416666666666667,5
All,female x middle,270,safe,6.166666666666667,5
All,female x middle,105,safe,3.1481481481481484,4
All,female x middle,389,safe,7.779761904761905,7
All,female x middle,260,safe,3.3333333333333335,7
All,female x middle,317,safe,1.3333333333333335,5
All,female x middle,301,safe,3.571428571428572,5
All,female x middle,95,safe,2.5,4
All,female x middle,374,safe,4.444444444444445,4
All,female x middle,179,safe,5.333333333333334,5
All,female x middle,36,safe,5.222222222222222,5
All,female x middle,29,safe,3.3333333333333335,4
All,female x middle,254,safe,5.472222222222222,5
All,female x middle,330,safe,4.500000000000001,4
All,female x middle,49,safe,2.777777777777778,4
All,female x middle,338,safe,5.111111111111112,5
All,female x middle,240,safe,5.388888888888889,4
All,female x middle,377,safe,6.111111111111112,6
All,female x middle,358,safe,4.126984126984127,6
All,female x middle,86,safe,4.17989417989418,4
All,female x middle,75,safe,2.407407407407408,6
All,female x middle,17,safe,3.742063492063492,6
All,female x middle,255,safe,2.916666666666667,5
All,female x middle,130,safe,2.0833333333333335,4
All,female x middle,102,safe,1.4603174603174607,4
All,female x middle,204,safe,3.5714285714285716,7
All,female x middle,123,safe,3.541666666666667,4
All,female x middle,337,safe,3.902777777777778,8
All,female x middle,7,safe,5.347222222222222,12
All,female x middle,151,safe,4.285714285714286,7
All,female x middle,53,safe,2.111111111111111,5
All,female x middle,344,safe,5.215909090909092,8
All,female x middle,184,safe,4.106060606060606,11
All,female x middle,281,safe,4.962962962962964,6
All,female x middle,220,safe,2.3333333333333335,4
All,female x middle,297,safe,5.5,5
All,female x middle,124,safe,5.222222222222223,5
All,female x middle,269,safe,3.3333333333333335,5
All,female x middle,28,safe,3.5000000000000004,5
All,female x middle,107,safe,3.1481481481481484,4
All,female x middle,82,safe,3.0634920634920637,5
All,female x middle,32,safe,3.5813492063492065,9
All,female x middle,283,safe,6.111111111111111,4
All,female x middle,245,safe,5.732323232323233,11
All,female x middle,68,safe,3.6111111111111116,6
All,female x middle,351,safe,7.361111111111111,6
All,female x middle,397,safe,8.555555555555555,4
All,female x middle,93,safe,2.111111111111111,5
All,female x middle,20,safe,2.962962962962963,6
All,female x middle,178,safe,3.291005291005291,7
All,female x middle,166,safe,7.986111111111112,6
All,female x middle,369,safe,5.0,4
All,female x middle,62,safe,3.8888888888888884,5
All,female x middle,117,safe,3.3333333333333335,4
All,female x middle,371,safe,4.666666666666667,5
All,female x middle,236,safe,5.0,6
All,female x middle,200,safe,5.5,5
All,female x middle,197,safe,6.666666666666667,4
All,female x middle,37,safe,3.611111111111111,6
All,female x middle,110,safe,1.425925925925926,5
All,female x middle,367,safe,5.0,4
All,female x middle,25,safe,3.4259259259259265,5
All,female x middle,30,safe,4.444444444444445,6
All,female x middle,196,safe,5.333333333333334,5
All,female x middle,12,safe,6.666666666666667,6
All,female x middle,98,safe,1.9722222222222223,5
All,female x middle,177,safe,3.3465608465608465,9
All,female x middle,218,safe,3.8904761904761904,6
All,female x middle,352,safe,5.0,4
All,female x middle,273,safe,3.611111111111111,6
All,female x middle,339,safe,3.2222222222222223,5
All,female x middle,390,safe,3.8888888888888893,8
All,female x middle,3,safe,3.703703703703704,9
All,female x middle,195,safe,4.5092592592592595,5
All,female x middle,31,safe,5.833333333333334,4
All,female x middle,41,safe,5.888888888888889,10
All,female x middle,199,safe,4.027777777777779,6
All,female x middle,149,safe,3.0,5
All,female x middle,284,safe,5.013888888888889,5
All,female x middle,256,safe,4.4444444444444455,6
All,female x middle,9,safe,5.420634920634921,6
All,female x middle,316,safe,4.833333333333333,6
All,female x middle,154,safe,3.277777777777778,5
All,female x middle,78,safe,5.714285714285715,4
All,female x middle,115,safe,8.083333333333334,4
All,female x middle,136,safe,2.5,5
All,female x middle,162,safe,4.814814814814815,9
All,female x middle,264,safe,3.8888888888888893,6
All,female x middle,152,safe,3.388888888888889,4
All,female x middle,285,safe,4.760802469135802,8
All,female x middle,34,safe,4.166666666666667,4
All,female x middle,287,safe,4.0,5
All,female x middle,26,safe,5.277777777777778,6
All,female x middle,50,safe,3.712121212121213,6
All,female x middle,292,safe,3.75,4
All,female x middle,286,safe,2.671957671957672,7
All,female x middle,24,safe,3.928571428571429,4
All,female x middle,246,safe,2.5,4
All,female x middle,321,safe,5.333333333333334,4
All,female x middle,299,safe,1.6666666666666667,4
All,female x middle,74,safe,3.4469696969696972,4
All,female x middle,385,safe,6.333333333333333,4
All,female x middle,398,safe,5.833333333333334,4
All,female x middle,66,safe,1.851851851851852,6
All,female x middle,214,safe,2.2222222222222228,4
All,female x middle,208,safe,2.5,4
All,female x middle,247,safe,6.257936507936508,7
All,female x middle,167,safe,3.442857142857143,7
All,female x middle,96,safe,3.703703703703704,9
All,female x middle,125,safe,5.555555555555556,4
All,female x middle,298,safe,5.738095238095238,5
All,female x middle,280,safe,4.555555555555556,5
All,female x middle,187,safe,4.708333333333334,8
All,female x middle,233,safe,3.0555555555555554,4
All,female x middle,309,safe,7.691358024691358,5
All,female x middle,315,safe,2.0833333333333335,4
All,female x middle,302,safe,3.742724867724868,6
All,female x middle,345,safe,6.888888888888888,6
All,female x middle,232,safe,8.000000000000002,5
All,female x middle,376,safe,5.166666666666667,4
All,female x middle,399,safe,5.431547619047619,8
All,female x middle,198,safe,5.416666666666667,4
All,female x middle,8,safe,2.5,6
All,female x middle,97,safe,3.0,5
All,female x middle,33,safe,2.023809523809524,6
All,female x middle,132,safe,6.851851851851851,4
All,female x middle,48,safe,7.321428571428571,4
All,female x middle,267,safe,6.7407407407407405,5
All,female x middle,238,safe,5.166666666666667,5
All,female x middle,138,safe,7.888888888888889,5
All,female x middle,128,safe,4.0,5
All,female x middle,335,safe,5.666666666666667,5
All,female x middle,372,safe,4.25,9
All,female x middle,90,safe,7.055555555555556,4
All,female x middle,290,safe,6.0,6
All,female x middle,392,safe,7.003968253968255,7
All,female x middle,84,safe,6.25,4
All,female x middle,108,safe,1.3194444444444446,6
All,female x middle,109,safe,1.4761904761904763,5
All,female x middle,146,safe,5.1269841269841265,7
All,female x middle,133,safe,6.055555555555555,5
All,female x middle,101,safe,5.0,7
All,female x middle,252,safe,2.5,4
All,female x middle,234,safe,4.8809523809523805,7
All,female x middle,121,safe,7.111111111111112,5
All,female x middle,55,safe,5.357142857142858,7
All,female x middle,203,lively,4.222222222222223,5
All,female x middle,276,lively,4.666666666666667,4
All,female x middle,45,lively,7.5,4
All,female x middle,380,lively,5.333333333333334,5
All,female x middle,277,lively,4.4444444444444455,6
All,female x middle,278,lively,5.73989898989899,4
All,female x middle,11,lively,3.1666666666666665,4
All,female x middle,85,lively,5.0,4
All,female x middle,340,lively,5.500000000000001,5
All,female x middle,223,lively,5.277777777777779,4
All,female x middle,120,lively,1.5652557319223985,4
All,female x middle,169,lively,4.722222222222222,6
All,female x middle,58,lively,2.9444444444444446,6
All,female x middle,150,lively,2.0833333333333335,4
All,female x middle,237,lively,3.444444444444445,6
All,female x middle,176,lively,3.111111111111111,5
All,female x middle,35,lively,2.8333333333333335,5
All,female x middle,161,lively,1.6666666666666667,4
All,female x middle,348,lively,2.6428571428571432,5
All,female x middle,73,lively,4.166666666666667,4
All,female x middle,16,lively,1.4761904761904763,5
All,female x middle,72,lively,5.150793650793651,7
All,female x middle,308,lively,3.388888888888889,6
All,female x middle,94,lively,5.583333333333334,5
All,female x middle,206,lively,3.1666666666666665,4
All,female x middle,5,lively,1.8888888888888888,6
All,female x middle,99,lively,1.6190476190476193,4
All,female x middle,326,lively,8.148148148148149,5
All,female x middle,129,lively,4.301587301587301,7
All,female x middle,51,lively,2.2222222222222223,5
All,female x middle,336,lively,5.0,6
All,female x middle,310,lively,4.222222222222222,6
All,female x middle,155,lively,5.083333333333333,9
All,female x middle,144,lively,2.407407407407408,5
All,female x middle,59,lively,6.888888888888888,4
All,female x middle,362,lively,7.698412698412698,8
All,female x middle,383,lively,4.851851851851852,5
All,female x middle,304,lively,5.666666666666667,4
All,female x middle,388,lively,7.722222222222221,5
All,female x middle,56,lively,2.8888888888888893,6
All,female x middle,357,lively,4.0,5
All,female x middle,60,lively,3.0674603174603177,6
All,female x middle,258,lively,6.666666666666667,4
All,female x middle,229,lively,3.3333333333333335,4
All,female x middle,364,lively,5.555555555555556,7
All,female x middle,172,lively,4.4444444444444455,6
All,female x middle,210,lively,2.0,5
All,female x middle,202,lively,6.265432098765432,9
All,female x middle,265,lively,3.3333333333333335,5
All,female x middle,77,lively,5.205026455026455,7
All,female x middle,370,lively,3.3333333333333335,6
All,female x middle,322,lively,7.5,8
All,female x middle,226,lively,2.678571428571429,4
All,female x middle,189,lively,5.0396825396825395,7
All,female x middle,165,lively,3.666666666666667,5
All,female x middle,10,lively,4.500000000000001,4
All,female x middle,353,lively,7.162698412698413,5
All,female x middle,111,lively,1.7037037037037037,5
All,female x middle,311,lively,3.1481481481481484,6
All,female x middle,324,lively,6.190476190476191,4
All,female x middle,54,lively,1.3888888888888893,5
All,female x middle,65,lively,4.0,5
All,female x middle,331,lively,4.217893217893217,7
All,female x middle,263,lively,1.5833333333333333,5
All,female x middle,296,lively,6.0,5
All,female x middle,143,lively,5.666666666666667,4
All,female x middle,180,lively,1.8214285714285716,7
All,female x middle,105,lively,4.428571428571429,7
All,female x middle,389,lively,5.222222222222222,6
All,female x middle,260,lively,2.2500000000000004,5
All,female x middle,156,lively,2.666666666666667,5
All,female x middle,374,lively,7.814814814814816,5
All,female x middle,179,lively,3.3333333333333335,5
All,female x middle,159,lively,6.851851851851851,4
All,female x middle,342,lively,7.222222222222222,4
All,female x middle,254,lively,7.777777777777777,6
All,female x middle,242,lively,8.100000000000001,8
All,female x middle,52,lively,3.7698412698412698,4
All,female x middle,81,lively,5.386904761904762,7
All,female x middle,330,lively,5.555555555555556,5
All,female x middle,338,lively,5.392857142857143,5
All,female x middle,240,lively,5.0476190476190474,5
All,female x middle,230,lively,3.373015873015873,4
All,female x middle,377,lively,5.0,6
All,female x middle,358,lively,3.683501683501684,5
All,female x middle,158,lively,4.361111111111112,7
All,female x middle,86,lively,3.8306878306878307,6
All,female x middle,75,lively,4.444444444444445,4
All,female x middle,341,lively,10.0,4
All,female x middle,88,lively,2.7592592592592595,4
All,female x middle,17,lively,6.0,5
All,female x middle,255,lively,5.38961038961039,7
All,female x middle,130,lively,2.166666666666667,5
All,female x middle,204,lively,3.0976430976430978,11
All,female x middle,123,lively,2.4444444444444446,5
All,female x middle,337,lively,7.896825396825397,7
All,female x middle,7,lively,7.083333333333334,4
All,female x middle,184,lively,4.662698412698413,6
All,female x middle,297,lively,6.25,4
All,female x middle,269,lively,6.488095238095239,7
All,female x middle,28,lively,3.555555555555556,5
All,female x middle,213,lively,3.3585858585858586,4
All,female x middle,107,lively,3.442760942760943,11
All,female x middle,183,lively,1.2698412698412702,4
All,female x middle,82,lively,4.777777777777778,6
All,female x middle,366,lively,5.502645502645502,4
All,female x middle,32,lively,4.398148148148148,9
All,female x middle,283,lively,5.833333333333334,4
All,female x middle,245,lively,6.111111111111111,6
All,female x middle,71,lively,5.555555555555555,4
All,female x middle,266,lively,7.222222222222222,4
All,female x middle,397,lively,6.825396825396825,4
All,female x middle,194,lively,5.833333333333334,4
All,female x middle,365,lively,7.222222222222222,4
All,female x middle,63,lively,4.761904761904762,7
All,female x middle,178,lively,2.8148148148148144,6
All,female x middle,166,lively,8.465608465608465,6
All,female x middle,369,lively,5.9259259259259265,6
All,female x middle,251,lively,3.1944444444444446,4
All,female x middle,117,lively,8.166666666666668,5
All,female x middle,163,lively,3.3333333333333335,5
All,female x middle,386,lively,8.777777777777779,4
All,female x middle,371,lively,3.0555555555555554,4
All,female x middle,14,lively,6.190476190476191,4
All,female x middle,200,lively,5.333333333333334,5
All,female x middle,37,lively,4.333333333333334,5
All,female x middle,327,lively,6.9444444444444455,5
All,female x middle,38,lively,4.583333333333334,4
All,female x middle,231,lively,5.416666666666667,8
All,female x middle,367,lively,7.083333333333334,4
All,female x middle,25,lively,5.555555555555555,8
All,female x middle,30,lively,3.4259259259259256,8
All,female x middle,12,lively,4.8842592592592595,6
All,female x middle,98,lively,2.666666666666667,5
All,female x middle,190,lively,0.8333333333333334,4
All,female x middle,177,lively,3.055555555555556,5
All,female x middle,352,lively,7.259259259259259,6
All,female x middle,273,lively,5.333333333333334,4
All,female x middle,339,lively,4.166666666666667,4
All,female x middle,390,lively,5.0476190476190474,5
All,female x middle,3,lively,5.0,4
All,female x middle,21,lively,3.444444444444445,4
All,female x middle,23,lively,5.833333333333334,4
All,female x middle,116,lively,4.777777777777779,5
All,female x middle,31,lively,4.333333333333334,5
All,female x middle,106,lively,0.8888888888888887,5
All,female x middle,112,lively,1.8849206349206349,6
All,female x middle,103,lively,7.5,4
All,female x middle,375,lively,4.166666666666667,4
All,female x middle,205,lively,3.564814814814815,9
All,female x middle,199,lively,4.380952380952381,7
All,female x middle,284,lively,6.190476190476191,7
All,female x middle,114,lively,6.388888888888889,6
All,female x middle,9,lively,4.722222222222222,6
All,female x middle,79,lively,5.226190476190476,8
All,female x middle,316,lively,6.666666666666667,4
All,female x middle,115,lively,4.166666666666667,4
All,female x middle,354,lively,8.518518518518519,4
All,female x middle,136,lively,1.1666666666666667,5
All,female x middle,394,lively,8.333333333333334,4
All,female x middle,34,lively,3.3333333333333335,4
All,female x middle,173,lively,4.000000000000001,5
All,female x middle,287,lively,4.115079365079366,10
All,female x middle,26,lively,1.9444444444444446,4
All,female x middle,91,lively,0.6666666666666665,5
All,female x middle,292,lively,4.060606060606061,5
All,female x middle,216,lively,0.925925925925926,5
All,female x middle,286,lively,5.833333333333334,6
All,female x middle,24,lively,5.5,6
All,female x middle,246,lively,5.800264550264551,9
All,female x middle,321,lively,7.861111111111112,6
All,female x middle,299,lively,5.634920634920635,6
All,female x middle,248,lively,0.8333333333333334,4
All,female x middle,385,lively,5.833333333333334,4
All,female x middle,398,lively,5.333333333333334,5
All,female x middle,359,lively,5.7253968253968255,8
All,female x middle,253,lively,6.635802469135802,4
All,female x middle,214,lively,6.174603174603175,7
All,female x middle,167,lively,4.037698412698413,8
All,female x middle,87,lively,4.166666666666667,4
All,female x middle,96,lively,4.000000000000001,5
All,female x middle,125,lively,3.3333333333333335,6
All,female x middle,298,lively,4.523809523809525,4
All,female x middle,280,lively,3.444444444444444,7
All,female x middle,187,lively,4.500000000000001,10
All,female x middle,315,lively,3.111111111111111,5
All,female x middle,232,lively,1.9444444444444446,4
All,female x middle,119,lively,2.0,5
All,female x middle,376,lively,6.2896825396825395,6
All,female x middle,2,lively,5.026455026455027,7
All,female x middle,399,lively,5.780423280423281,9
All,female x middle,168,lively,4.277777777777778,5
All,female x middle,198,lively,3.1746031746031744,4
All,female x middle,363,lively,3.3333333333333335,6
All,female x middle,33,lively,8.402777777777777,5
All,female x middle,48,lively,5.666666666666668,5
All,female x middle,134,lively,4.222222222222222,7
All,female x middle,261,lively,2.5,4
All,female x middle,27,lively,1.3095238095238093,4
All,female x middle,128,lively,4.137566137566138,7
All,female x middle,89,lively,1.7592592592592597,6
All,female x middle,384,lively,7.5,4
All,female x middle,294,lively,3.670634920634921,5
All,female x middle,372,lively,6.805555555555555,4
All,female x middle,221,lively,7.0317460317460325,7
All,female x middle,290,lively,4.166666666666667,4
All,female x middle,379,lively,3.8888888888888893,6
All,female x middle,382,lively,4.416666666666667,4
All,female x middle,392,lively,5.111111111111112,5
All,female x middle,108,lively,5.80952380952381,5
All,female x middle,109,lively,4.916666666666667,5
All,female x middle,272,lively,4.166666666666667,4
All,female x middle,133,lively,5.888888888888889,5
All,female x middle,101,lively,3.6011904761904763,7
All,female x middle,57,lively,5.523809523809525,5
All,female x middle,252,lively,2.388888888888889,6
All,female x middle,234,lively,3.8928571428571423,7
All,female x middle,211,lively,3.3333333333333335,4
All,female x middle,55,lively,5.277777777777779,6
All,female x middle,203,boring,4.666666666666667,5
All,female x middle,305,boring,2.2222222222222228,4
All,female x middle,277,boring,6.055555555555555,5
All,female x middle,278,boring,1.6666666666666667,4
All,female x middle,69,boring,3.3333333333333335,5
All,female x middle,83,boring,7.083333333333334,4
All,female x middle,11,boring,2.569444444444444,9
All,female x middle,328,boring,5.666666666666667,8
All,female x middle,340,boring,3.54265873015873,7
All,female x middle,223,boring,3.8888888888888893,6
All,female x middle,120,boring,3.3333333333333335,5
All,female x middle,58,boring,6.0,5
All,female x middle,381,boring,7.083333333333334,4
All,female x middle,80,boring,6.166666666666666,5
All,female x middle,207,boring,3.333333333333333,4
All,female x middle,67,boring,3.62962962962963,5
All,female x middle,161,boring,1.9444444444444446,4
All,female x middle,307,boring,6.031746031746032,7
All,female x middle,164,boring,6.190476190476191,7
All,female x middle,219,boring,3.7777777777777777,6
All,female x middle,44,boring,1.5740740740740744,4
All,female x middle,308,boring,3.398148148148148,8
All,female x middle,5,boring,5.722222222222223,6
All,female x middle,319,boring,7.037037037037037,4
All,female x middle,99,boring,4.4444444444444455,4
All,female x middle,51,boring,4.027777777777779,6
All,female x middle,350,boring,4.069444444444445,8
All,female x middle,336,boring,1.5555555555555556,5
All,female x middle,310,boring,3.8690476190476186,7
All,female x middle,92,boring,5.416666666666667,4
All,female x middle,274,boring,4.555555555555556,5
All,female x middle,175,boring,5.801587301587302,5
All,female x middle,144,boring,5.80952380952381,5
All,female x middle,59,boring,5.101851851851852,10
All,female x middle,361,boring,3.3333333333333335,4
All,female x middle,362,boring,3.7698412698412698,7
All,female x middle,383,boring,4.791666666666667,6
All,female x middle,388,boring,3.444444444444444,5
All,female x middle,188,boring,5.138888888888888,4
All,female x middle,323,boring,3.35978835978836,6
All,female x middle,357,boring,2.777777777777778,4
All,female x middle,60,boring,8.666666666666668,5
All,female x middle,303,boring,5.333333333333334,5
All,female x middle,229,boring,6.666666666666667,4
All,female x middle,364,boring,4.0,6
All,female x middle,70,boring,5.333333333333334,4
All,female x middle,325,boring,2.5,4
All,female x middle,172,boring,6.5396825396825395,5
All,female x middle,202,boring,4.000000000000001,5
All,female x middle,265,boring,3.3968253968253967,5
All,female x middle,300,boring,4.777777777777778,7
All,female x middle,77,boring,8.88888888888889,4
All,female x middle,343,boring,5.833333333333334,4
All,female x middle,370,boring,5.0,4
All,female x middle,153,boring,8.611111111111112,6
All,female x middle,157,boring,6.222222222222222,5
All,female x middle,322,boring,3.916666666666667,8
All,female x middle,186,boring,2.3333333333333335,5
All,female x middle,171,boring,3.3333333333333335,4
All,female x middle,111,boring,7.444444444444445,4
All,female x middle,288,boring,6.666666666666667,6
All,female x middle,54,boring,6.222222222222222,5
All,female x middle,65,boring,7.592592592592593,7
All,female x middle,331,boring,3.6904761904761907,4
All,female x middle,296,boring,7.222222222222222,6
All,female x middle,180,boring,6.150793650793651,4
All,female x middle,389,boring,5.222222222222222,9
All,female x middle,260,boring,4.666666666666667,5
All,female x middle,156,boring,5.555555555555556,5
All,female x middle,317,boring,4.907407407407408,6
All,female x middle,301,boring,5.962962962962963,6
All,female x middle,95,boring,5.595238095238096,4
All,female x middle,36,boring,5.277777777777778,4
All,female x middle,159,boring,5.6878306878306875,6
All,female x middle,254,boring,3.0317460317460316,7
All,female x middle,242,boring,5.1190476190476195,7
All,female x middle,250,boring,1.0555555555555556,6
All,female x middle,81,boring,3.439153439153439,7
All,female x middle,49,boring,1.9444444444444446,6
All,female x middle,240,boring,6.083333333333333,5
All,female x middle,393,boring,4.666666666666667,5
All,female x middle,358,boring,3.2076719576719577,8
All,female x middle,158,boring,6.428571428571428,5
All,female x middle,341,boring,1.6190476190476193,7
All,female x middle,346,boring,5.583333333333334,4
All,female x middle,140,boring,6.166666666666667,5
All,female x middle,170,boring,4.722222222222222,4
All,female x middle,255,boring,3.833333333333333,5
All,female x middle,395,boring,4.4444444444444455,6
All,female x middle,215,boring,4.666666666666667,5
All,female x middle,243,boring,3.8888888888888893,4
All,female x middle,204,boring,3.111111111111111,5
All,female x middle,123,boring,5.555555555555556,4
All,female x middle,337,boring,2.0,5
All,female x middle,7,boring,6.375000000000001,5
All,female x middle,329,boring,2.5,4
All,female x middle,344,boring,4.833333333333333,4
All,female x middle,184,boring,4.642857142857143,7
All,female x middle,281,boring,5.555555555555556,6
All,female x middle,297,boring,4.944444444444445,5
All,female x middle,269,boring,1.7592592592592597,4
All,female x middle,28,boring,6.625,5
All,female x middle,118,boring,7.407407407407408,6
All,female x middle,107,boring,7.784126984126984,7
All,female x middle,183,boring,8.333333333333334,5
All,female x middle,82,boring,4.333333333333334,5
All,female x middle,366,boring,3.5333333333333337,6
All,female x middle,283,boring,2.0833333333333335,4
All,female x middle,245,boring,1.068783068783069,5
All,female x middle,68,boring,5.601851851851852,8
All,female x middle,351,boring,4.166666666666667,4
All,female x middle,141,boring,6.7496693121693125,8
All,female x middle,266,boring,2.055555555555556,4
All,female x middle,397,boring,3.1481481481481484,6
All,female x middle,148,boring,6.944444444444444,4
All,female x middle,194,boring,4.462962962962964,6
All,female x middle,63,boring,4.222222222222222,6
All,female x middle,20,boring,8.333333333333334,6
All,female x middle,181,boring,4.726190476190476,5
All,female x middle,178,boring,5.123015873015873,5
All,female x middle,166,boring,4.166666666666667,4
All,female x middle,251,boring,6.648148148148149,4
All,female x middle,62,boring,8.566666666666668,5
All,female x middle,163,boring,5.833333333333334,4
All,female x middle,371,boring,4.166666666666667,4
All,female x middle,14,boring,3.194444444444444,6
All,female x middle,76,boring,4.037037037037038,9
All,female x middle,236,boring,5.653439153439154,5
All,female x middle,200,boring,5.28042328042328,7
All,female x middle,228,boring,3.674603174603175,5
All,female x middle,38,boring,5.555555555555556,5
All,female x middle,110,boring,3.5555555555555562,5
All,female x middle,231,boring,3.4126984126984126,7
All,female x middle,224,boring,6.25,4
All,female x middle,257,boring,1.5277777777777777,4
All,female x middle,12,boring,4.107142857142858,4
All,female x middle,98,boring,8.0,4
All,female x middle,190,boring,7.777777777777777,5
All,female x middle,177,boring,5.500000000000001,5
All,female x middle,218,boring,5.111111111111111,5
All,female x middle,352,boring,5.555555555555556,4
All,female x middle,273,boring,1.7566137566137572,5
All,female x middle,21,boring,4.000000000000001,5
All,female x middle,355,boring,3.0555555555555554,4
All,female x middle,116,boring,6.011904761904762,7
All,female x middle,31,boring,3.005952380952381,6
All,female x middle,112,boring,5.238095238095238,7
All,female x middle,103,boring,1.521164021164021,4
All,female x middle,41,boring,5.833333333333334,4
All,female x middle,201,boring,3.407407407407408,4
All,female x middle,149,boring,7.037037037037037,6
All,female x middle,284,boring,4.685185185185186,8
All,female x middle,114,boring,7.083333333333334,4
All,female x middle,268,boring,3.920634920634921,5
All,female x middle,79,boring,6.388888888888888,4
All,female x middle,316,boring,3.1944444444444446,4
All,female x middle,154,boring,6.949404761904763,7
All,female x middle,115,boring,2.0833333333333335,4
All,female x middle,354,boring,1.8571428571428572,5
All,female x middle,136,boring,7.433862433862434,7
All,female x middle,162,boring,7.583333333333333,5
All,female x middle,312,boring,5.0,6
All,female x middle,320,boring,2.305555555555556,6
All,female x middle,173,boring,1.777777777777778,6
All,female x middle,291,boring,5.132275132275132,6
All,female x middle,292,boring,3.851410934744268,7
All,female x middle,216,boring,6.046296296296296,5
All,female x middle,387,boring,3.1296296296296298,4
All,female x middle,286,boring,7.012698412698413,7
All,female x middle,396,boring,4.888888888888889,5
All,female x middle,321,boring,2.048611111111111,6
All,female x middle,248,boring,5.277777777777779,6
All,female x middle,398,boring,4.166666666666667,6
All,female x middle,400,boring,6.296296296296297,4
All,female x middle,293,boring,1.2962962962962965,6
All,female x middle,359,boring,4.583333333333334,4
All,female x middle,227,boring,3.819444444444445,6
All,female x middle,214,boring,1.7857142857142858,4
All,female x middle,247,boring,4.166666666666667,4
All,female x middle,167,boring,4.583333333333334,4
All,female x middle,39,boring,5.0,4
All,female x middle,314,boring,5.0,4
All,female x middle,125,boring,6.87037037037037,5
All,female x middle,298,boring,5.555555555555555,8
All,female x middle,244,boring,6.996031746031747,5
All,female x middle,280,boring,4.761904761904762,4
All,female x middle,160,boring,7.5,4
All,female x middle,235,boring,2.175925925925926,6
All,female x middle,182,boring,6.666666666666667,4
All,female x middle,356,boring,2.7083333333333335,8
All,female x middle,233,boring,4.666666666666667,5
All,female x middle,309,boring,6.666666666666667,4
All,female x middle,315,boring,2.1560846560846563,4
All,female x middle,345,boring,4.166666666666667,4
All,female x middle,232,boring,5.763888888888888,6
All,female x middle,119,boring,5.648148148148148,6
All,female x middle,275,boring,0.8333333333333334,4
All,female x middle,376,boring,1.6666666666666667,4
All,female x middle,2,boring,3.8888888888888884,4
All,female x middle,40,boring,5.277777777777778,4
All,female x middle,168,boring,5.1190476190476195,9
All,female x middle,198,boring,3.277777777777778,4
All,female x middle,363,boring,4.666666666666667,5
All,female x middle,33,boring,2.2222222222222228,6
All,female x middle,48,boring,3.3333333333333335,4
